sid,name,outcome,endpoint_time,endpoint_type,observation_time,hours_to_endpoint,center_lat,center_lon,segment_count,s3_key,local_path,s3_keys_json,local_paths_json,pair_id,valid_pixel_fraction,mean_bt_k,min_bt_k,cold_cloud_fraction,very_cold_fraction,radial_concentration,azimuthal_symmetry,largest_patch_fraction,patch_count,patch_density_per_10k_px,cold_centroid_offset_km,mean_cold_radius_km
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-03T12:00:00+00:00,-72,16.0,132.4,1,AHI-L1b-FLDK/2017/09/03/1200/HS_H08_20170903_1200_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/03/1200/HS_H08_20170903_1200_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2017/09/03/1200/HS_H08_20170903_1200_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/03/1200/HS_H08_20170903_1200_B13_FLDK_R20_S0101.DAT.bz2""]",4,1.0,256.77947998046875,181.32264709472656,0.23867179489193194,0.107878677546978,0.33622172474861145,0.15066031517680456,0.8319052590243126,60,2.336184776641267,187.88874103971065,287.2975769042969
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-03T15:00:00+00:00,-69,16.2,131.4,1,AHI-L1b-FLDK/2017/09/03/1500/HS_H08_20170903_1500_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/03/1500/HS_H08_20170903_1500_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2017/09/03/1500/HS_H08_20170903_1500_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/03/1500/HS_H08_20170903_1500_B13_FLDK_R20_S0101.DAT.bz2""]",4,1.0,253.17776489257812,182.96531677246094,0.33143474527181127,0.19622255861759186,0.3000853657722473,0.2897460337193276,0.8327689567764718,37,1.4500080338282955,167.97063659504502,303.599853515625
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-03T18:00:00+00:00,-66,16.3,130.3,1,AHI-L1b-FLDK/2017/09/03/1800/HS_H08_20170903_1800_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/03/1800/HS_H08_20170903_1800_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2017/09/03/1800/HS_H08_20170903_1800_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/03/1800/HS_H08_20170903_1800_B13_FLDK_R20_S0101.DAT.bz2""]",4,1.0,245.67547607421875,180.9459991455078,0.4493042065123607,0.22603727877140045,0.222370445728302,0.3389337110940681,0.9634354501774953,35,1.3809211928002716,189.4702229320687,328.0222473144531
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-03T21:00:00+00:00,-63,16.3,129.3,1,AHI-L1b-FLDK/2017/09/03/2100/HS_H08_20170903_2100_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/03/2100/HS_H08_20170903_2100_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2017/09/03/2100/HS_H08_20170903_2100_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/03/2100/HS_H08_20170903_2100_B13_FLDK_R20_S0101.DAT.bz2""]",4,1.0,240.4100341796875,183.66978454589844,0.5048931012251829,0.20618483424186707,0.18811365962028503,0.36761425957020766,0.9711372810251259,40,1.5877615340951943,184.31978551056477,343.3957214355469
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-04T00:00:00+00:00,-60,16.3,128.4,1,AHI-L1b-FLDK/2017/09/04/0000/HS_H08_20170904_0000_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/04/0000/HS_H08_20170904_0000_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2017/09/04/0000/HS_H08_20170904_0000_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/04/0000/HS_H08_20170904_0000_B13_FLDK_R20_S0101.DAT.bz2""]",4,1.0,238.52389526367188,183.66978454589844,0.49685780279567743,0.20471663773059845,0.14652344584465027,0.3913449368405014,0.9209847603832026,65,2.595224786393037,171.1161532323173,364.49505615234375
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-04T03:00:00+00:00,-57,16.3,127.8,1,AHI-L1b-FLDK/2017/09/04/0300/HS_H08_20170904_0300_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/04/0300/HS_H08_20170904_0300_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2017/09/04/0300/HS_H08_20170904_0300_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/04/0300/HS_H08_20170904_0300_B13_FLDK_R20_S0101.DAT.bz2""]",4,1.0,239.0746612548828,184.18846130371094,0.5027058615637968,0.1702651083469391,0.11274076998233795,0.42747364958766054,0.8233283648111284,63,2.525414488663695,175.08208161708785,391.85198974609375
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-04T06:00:00+00:00,-54,16.3,127.3,1,AHI-L1b-FLDK/2017/09/04/0600/HS_H08_20170904_0600_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/04/0600/HS_H08_20170904_0600_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2017/09/04/0600/HS_H08_20170904_0600_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/04/0600/HS_H08_20170904_0600_B13_FLDK_R20_S0101.DAT.bz2""]",4,1.0,242.64364624023438,186.18670654296875,0.4452022827015945,0.08610478043556213,0.06004256755113602,0.39674976244971105,0.9257486397068488,80,3.218655326271067,199.82662856813752,411.97198486328125
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-04T09:00:00+00:00,-51,16.4,126.6,1,AHI-L1b-FLDK/2017/09/04/0900/HS_H08_20170904_0900_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/04/0900/HS_H08_20170904_0900_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2017/09/04/0900/HS_H08_20170904_0900_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/04/0900/HS_H08_20170904_0900_B13_FLDK_R20_S0101.DAT.bz2""]",4,1.0,245.18756103515625,186.02459716796875,0.3534393372982943,0.05385445058345795,0.09628430753946304,0.3745785502023925,0.7698295159387697,105,4.250272219815983,187.7855154066259,396.26544189453125
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-04T12:00:00+00:00,-48,16.4,125.9,1,AHI-L1b-FLDK/2017/09/04/1200/HS_H08_20170904_1200_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/04/1200/HS_H08_20170904_1200_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2017/09/04/1200/HS_H08_20170904_1200_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/04/1200/HS_H08_20170904_1200_B13_FLDK_R20_S0101.DAT.bz2""]",4,1.0,248.48263549804688,186.66848754882812,0.2968722693596224,0.06098078936338425,0.12282225489616394,0.25636916514810804,0.7043654835719272,69,2.80880580975022,211.98937178350747,393.13909912109375
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-04T15:00:00+00:00,-45,16.5,125.5,1,AHI-L1b-FLDK/2017/09/04/1500/HS_H08_20170904_1500_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/04/1500/HS_H08_20170904_1500_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2017/09/04/1500/HS_H08_20170904_1500_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/04/1500/HS_H08_20170904_1500_B13_FLDK_R20_S0101.DAT.bz2""]",4,1.0,254.40052795410156,186.18670654296875,0.25004009092341495,0.07412803918123245,0.19307522475719452,0.10488970617612825,0.8018658745661355,54,2.207117545358309,203.57437732644257,350.8203125
