sid,name,outcome,pair_id,endpoint_time,endpoint_type,cutoff_hour,n_available_frames,n_trailing_frames,median_lat,median_lon,endpoint_day_sin,endpoint_day_cos,cold_cloud_fraction__trailing_median,very_cold_fraction__trailing_median,radial_concentration__trailing_median,azimuthal_symmetry__trailing_median,largest_patch_fraction__trailing_median,cold_centroid_offset_km__trailing_median
2019195N13136,DANAS,1,1,2019-07-17 12:00:00+00:00,first_US_TS_or_34kt,-72,1,1,14.2,134.5,-0.2614143985111562,-0.965226663665613,0.3452209199080465,0.0872008055448532,0.1687311977148056,0.5822519924318398,0.6550826386455584,56.75447779239498
2021185N13121,UNNAMED,0,1,2021-07-06 18:00:00+00:00,72h_after_first_track,-72,1,1,13.0,121.2,-0.07518957641475855,-0.9971692572470178,0.2642698795401917,0.0764440223574638,0.26611989736557,0.4035148764971998,0.4065347307114048,144.52421764950893
2019231N13135,BAILU,1,2,2019-08-22 00:00:00+00:00,first_US_TS_or_34kt,-72,1,1,12.6,135.1,-0.7731383255706026,-0.6342374393978054,0.1779490812214952,0.0168342608958482,0.0046883854083716,0.5951377328707377,0.137014225387929,86.81477032189402
2022208N15143,SONGDA,0,2,2022-07-29 12:00:00+00:00,72h_after_first_track,-72,1,1,14.9,143.3,-0.45370308603134424,-0.8911529104063088,0.3867730419953536,0.1388964056968689,0.1872091293334961,0.3358142145703531,0.869445299596109,38.61448740682293
2019236N08143,PODUL,1,3,2019-08-28 00:00:00+00:00,first_US_TS_or_34kt,-72,1,1,11.1,137.7,-0.8343701235229537,-0.5512045872199277,0.4714455243536963,0.1546242386102676,0.1846700757741928,0.4106142613186853,0.8320258144248702,157.672018906871
2018234N22119,UNNAMED,0,3,2018-08-25 00:00:00+00:00,72h_after_first_track,-72,1,1,22.2,118.7,-0.8048257371083452,-0.593511190196115,0.167878454973439,0.0308384224772453,0.1444395035505294,0.0,0.6962252797437973,325.3114563578581
2019243N06136,LINGLING,1,4,2019-09-02 06:00:00+00:00,first_US_TS_or_34kt,-72,1,1,6.4,136.0,-0.8786374941610001,-0.4774894280028391,0.3467814022352414,0.0387708581984043,0.1805846244096756,0.829038110595904,0.554754088567624,40.53720629602766
2017247N16132,GUCHOL,0,4,2017-09-06 12:00:00+00:00,72h_after_first_track,-72,1,1,16.0,132.4,-0.9093882203647925,-0.4159483918249421,0.2386717948919319,0.107878677546978,0.3362217247486114,0.1506603151768045,0.8319052590243126,187.88874103971065
2019268N10155,MITAG,1,5,2019-09-27 12:00:00+00:00,first_US_TS_or_34kt,-72,1,1,9.6,155.0,-0.9977068927101168,-0.06768276175455162,0.1913217126562729,0.0363967902958393,0.1137807369232177,0.0377753239094255,0.7037191025563145,220.16708096076428
2020293N23139,UNNAMED,0,5,2020-10-22 06:00:00+00:00,72h_after_first_track,-72,1,1,22.6,139.4,-0.9288394302558068,0.3704825404820963,0.1591334413753924,0.0452198795974254,0.3989892601966858,0.1968567017051283,0.6938888170452908,140.754760941641
2019195N13136,DANAS,1,1,2019-07-17 12:00:00+00:00,first_US_TS_or_34kt,-60,5,4,15.0,133.6,-0.2614143985111562,-0.965226663665613,0.3812397435704856,0.1414209827780723,0.22326806932687754,0.6002933606201677,0.8533218097028644,72.3810764122552
2021185N13121,UNNAMED,0,1,2021-07-06 18:00:00+00:00,72h_after_first_track,-60,5,4,13.1,120.1,-0.07518957641475855,-0.9971692572470178,0.32319874787783226,0.0859545916318893,0.20192416757345194,0.15066060538616166,0.8105949648953108,208.5768033994612
2019231N13135,BAILU,1,2,2019-08-22 00:00:00+00:00,first_US_TS_or_34kt,-60,5,4,12.8,134.7,-0.7731383255706026,-0.6342374393978054,0.1988198865695175,0.02475156169384715,0.07521547004580495,0.2570849766581266,0.33545895622567196,132.51729274134266
2022208N15143,SONGDA,0,2,2022-07-29 12:00:00+00:00,72h_after_first_track,-60,5,4,15.2,142.9,-0.45370308603134424,-0.8911529104063088,0.4509200550113778,0.178823210299015,0.17717763036489487,0.3799671081204714,0.8698813395952238,114.29688548230702
2019236N08143,PODUL,1,3,2019-08-28 00:00:00+00:00,first_US_TS_or_34kt,-60,5,4,12.1,136.8,-0.8343701235229537,-0.5512045872199277,0.49270409913821744,0.09455382451415059,0.13399561494588846,0.432532840090259,0.8003946715998219,148.73588195134897
2018234N22119,UNNAMED,0,3,2018-08-25 00:00:00+00:00,72h_after_first_track,-60,5,4,22.2,119.0,-0.8048257371083452,-0.593511190196115,0.2527830760816697,0.0278861233964562,0.1250910013914108,0.02993123455862715,0.8097831306120209,266.8053979303881
2019243N06136,LINGLING,1,4,2019-09-02 06:00:00+00:00,first_US_TS_or_34kt,-60,5,4,6.4,136.0,-0.8786374941610001,-0.4774894280028391,0.31890399413412185,0.0911366939544677,0.2038419172167778,0.4711857997537938,0.6102548165703334,120.95698485894115
2017247N16132,GUCHOL,0,4,2017-09-06 12:00:00+00:00,72h_after_first_track,-60,5,4,16.3,130.3,-0.9093882203647925,-0.4159483918249421,0.47308100465401903,0.2054507359862327,0.20524205267429352,0.35327398533213783,0.9422101052803489,177.71796937144103
2019268N10155,MITAG,1,5,2019-09-27 12:00:00+00:00,first_US_TS_or_34kt,-60,5,4,9.7,154.1,-0.9977068927101168,-0.06768276175455162,0.2670902222561722,0.10468459874391554,0.28742121160030365,0.3961214439140607,0.8330201343975709,113.69764485993838
2020293N23139,UNNAMED,0,5,2020-10-22 06:00:00+00:00,72h_after_first_track,-60,5,4,23.2,139.0,-0.9288394302558068,0.3704825404820963,0.16613420007883065,0.049041947349905954,0.2819652855396271,0.2283774151242677,0.6376800907682896,107.37590313436628
2019195N13136,DANAS,1,1,2019-07-17 12:00:00+00:00,first_US_TS_or_34kt,-48,9,4,15.6,132.7,-0.2614143985111562,-0.965226663665613,0.5111409397440192,0.1448123753070831,0.1734722033143043,0.6328856967370078,0.7795925482911009,76.64678176084502
2021185N13121,UNNAMED,0,1,2021-07-06 18:00:00+00:00,72h_after_first_track,-48,9,4,14.0,118.6,-0.07518957641475855,-0.9971692572470178,0.3891578182620997,0.1693219989538192,0.19017054140567774,0.27941171946037446,0.9304644163224234,184.71342734614345
2019231N13135,BAILU,1,2,2019-08-22 00:00:00+00:00,first_US_TS_or_34kt,-48,9,4,13.0,134.2,-0.7731383255706026,-0.6342374393978054,0.30399064850077606,0.10488582774996749,0.0889869555830955,0.32364261471367745,0.49613489787360776,96.7322054618968
2022208N15143,SONGDA,0,2,2022-07-29 12:00:00+00:00,72h_after_first_track,-48,9,4,15.6,142.3,-0.45370308603134424,-0.8911529104063088,0.5063702860938528,0.1920855492353439,0.15519858151674265,0.5066584479604908,0.8325163411643697,78.95249140303396
2019236N08143,PODUL,1,3,2019-08-28 00:00:00+00:00,first_US_TS_or_34kt,-48,9,4,12.5,135.5,-0.8343701235229537,-0.5512045872199277,0.31325581141394443,0.09332605823874471,0.2260018810629844,0.39878245533474743,0.39764022512164693,111.22211210182257
2018234N22119,UNNAMED,0,3,2018-08-25 00:00:00+00:00,72h_after_first_track,-48,9,4,22.2,119.4,-0.8048257371083452,-0.593511190196115,0.2526793199182879,0.0767772868275642,0.15380185842514033,0.0,0.6630575675521106,274.63960339417906
2019243N06136,LINGLING,1,4,2019-09-02 06:00:00+00:00,first_US_TS_or_34kt,-48,9,4,6.4,134.7,-0.8786374941610001,-0.4774894280028391,0.32373711595800275,0.0754322633147239,0.18021097779273987,0.32816246935460747,0.8320700361678766,169.69148202064298
2017247N16132,GUCHOL,0,4,2017-09-06 12:00:00+00:00,72h_after_first_track,-48,9,4,16.3,128.4,-0.9093882203647925,-0.4159483918249421,0.3993208099999444,0.07354278489947315,0.10451253876090044,0.3856641563260518,0.796578940374949,193.8060719873817
2019268N10155,MITAG,1,5,2019-09-27 12:00:00+00:00,first_US_TS_or_34kt,-48,9,4,9.9,153.2,-0.9977068927101168,-0.06768276175455162,0.38334010378355915,0.1436253413558006,0.22039382159709925,0.4793387115728811,0.9036577618960362,127.03218144794697
2020293N23139,UNNAMED,0,5,2020-10-22 06:00:00+00:00,72h_after_first_track,-48,9,4,23.7,138.8,-0.9288394302558068,0.3704825404820963,0.20825256439323764,0.01961141452193255,0.1557017862796783,0.3424542069805681,0.5154589048655543,124.86870095428779
2019195N13136,DANAS,1,1,2019-07-17 12:00:00+00:00,first_US_TS_or_34kt,-36,13,4,16.4,131.6,-0.2614143985111562,-0.965226663665613,0.5170940454971172,0.23288553953170776,0.1463871672749519,0.5345138398807889,0.9432443128528001,115.62774508749641
2021185N13121,UNNAMED,0,1,2021-07-06 18:00:00+00:00,72h_after_first_track,-36,13,4,14.8,117.4,-0.07518957641475855,-0.9971692572470178,0.4260549393936625,0.14021814614534373,0.19212879240512845,0.29906510422798593,0.8905782086499943,193.87312969703444
2019231N13135,BAILU,1,2,2019-08-22 00:00:00+00:00,first_US_TS_or_34kt,-36,13,4,13.2,134.0,-0.7731383255706026,-0.6342374393978054,0.4038088675108083,0.0716168619692325,0.1151344925165176,0.34364129279518774,0.7406803924321607,160.38251374917172
2022208N15143,SONGDA,0,2,2022-07-29 12:00:00+00:00,72h_after_first_track,-36,13,4,16.5,141.6,-0.45370308603134424,-0.8911529104063088,0.4969185057750618,0.17573142051696775,0.15517218410968775,0.40055175662421283,0.9706008178337856,92.67089727289874
2019236N08143,PODUL,1,3,2019-08-28 00:00:00+00:00,first_US_TS_or_34kt,-36,13,4,12.6,133.9,-0.8343701235229537,-0.5512045872199277,0.2680000072570159,0.0514806862920522,0.15186977386474604,0.2332196045852008,0.664222857284932,211.60035174676293
2018234N22119,UNNAMED,0,3,2018-08-25 00:00:00+00:00,72h_after_first_track,-36,13,4,22.3,120.0,-0.8048257371083452,-0.593511190196115,0.33404288845334185,0.0773478709161281,0.20191515982151031,0.12124855942373886,0.935319033807329,229.83236126057494
2019243N06136,LINGLING,1,4,2019-09-02 06:00:00+00:00,first_US_TS_or_34kt,-36,13,4,6.4,133.6,-0.8786374941610001,-0.4774894280028391,0.2880190473864148,0.07564879022538659,0.20167837291955945,0.350170986326403,0.5938292741721056,144.65845422242415
2017247N16132,GUCHOL,0,4,2017-09-06 12:00:00+00:00,72h_after_first_track,-36,13,4,16.3,127.3,-0.9093882203647925,-0.4159483918249421,0.27432183560383955,0.10068801417946815,0.1271365731954574,0.00746518151598775,0.8477757326793518,243.70002538425607
2019268N10155,MITAG,1,5,2019-09-27 12:00:00+00:00,first_US_TS_or_34kt,-36,13,4,10.3,152.2,-0.9977068927101168,-0.06768276175455162,0.3194376943656866,0.12592198699712745,0.14391963928937906,0.13559305288188714,0.7654171177608803,260.88081641249175
2020293N23139,UNNAMED,0,5,2020-10-22 06:00:00+00:00,72h_after_first_track,-36,13,4,24.5,139.0,-0.9288394302558068,0.3704825404820963,0.20045118637117937,0.034196700900793,0.27331170439720154,0.19035356849826415,0.6602965074768976,164.5503713029622
2019195N13136,DANAS,1,1,2019-07-17 12:00:00+00:00,first_US_TS_or_34kt,-24,17,4,16.8,130.1,-0.2614143985111562,-0.965226663665613,0.5844522500821412,0.1912175491452217,0.1205779537558555,0.4977255929933806,0.9000339080924096,130.17411575137425
2021185N13121,UNNAMED,0,1,2021-07-06 18:00:00+00:00,72h_after_first_track,-24,17,4,14.9,116.3,-0.07518957641475855,-0.9971692572470178,0.2543216964485564,0.0799801722168922,0.23351798951625824,0.33092226961225846,0.6038678798352308,160.6099702529674
2019231N13135,BAILU,1,2,2019-08-22 00:00:00+00:00,first_US_TS_or_34kt,-24,17,4,13.5,133.8,-0.7731383255706026,-0.6342374393978054,0.31162179464932716,0.1137632839381694,0.1864286810159683,0.3282339279307026,0.5622371453053001,137.43111798136778
2022208N15143,SONGDA,0,2,2022-07-29 12:00:00+00:00,72h_after_first_track,-24,17,4,17.5,141.0,-0.45370308603134424,-0.8911529104063088,0.3668308449017403,0.1077921129763126,0.2059362307190895,0.3696538270174067,0.6189479600956229,105.83862509994505
2019236N08143,PODUL,1,3,2019-08-28 00:00:00+00:00,first_US_TS_or_34kt,-24,17,4,12.9,132.5,-0.8343701235229537,-0.5512045872199277,0.37105820722169625,0.1466285809874534,0.15086431801319117,0.16038386968483026,0.810753395100233,212.49280844535167
