cutoff_hour,lead_hours,model,n_cases,n_pairs,n_features,roc_auc,pair_bootstrap_ci_low,pair_bootstrap_ci_high,pr_auc,exact_within_pair_permutation_p_one_sided,n_exact_permutations
-72,72,metadata_only,10,5,4,0.8,0.48,1.0,0.835,0.1875,32
-72,72,cloud_area_only,10,5,2,0.28,0.039999999999999994,0.8400000000000001,0.44126984126984126,0.625,32
-72,72,organization_only,10,5,4,0.7200000000000001,0.64,1.0,0.7416666666666667,0.1875,32
-72,72,cloud_plus_organization,10,5,6,0.64,0.31999999999999995,0.9600000000000001,0.6226190476190476,0.375,32
-60,60,metadata_only,10,5,4,0.8,0.48,1.0,0.835,0.1875,32
-60,60,cloud_area_only,10,5,2,0.039999999999999994,0.0,0.16000000000000003,0.36103174603174604,1.0,32
-60,60,organization_only,10,5,4,0.8400000000000001,0.36,1.0,0.8528571428571428,0.1875,32
-60,60,cloud_plus_organization,10,5,6,0.76,0.19999999999999996,1.0,0.7961904761904761,0.3125,32
-48,48,metadata_only,10,5,4,0.8,0.48,1.0,0.835,0.125,32
-48,48,cloud_area_only,10,5,2,0.07999999999999999,0.0,0.48,0.3705555555555555,1.0,32
-48,48,organization_only,10,5,4,0.52,0.11999999999999997,0.9600000000000001,0.5453968253968254,0.5625,32
-48,48,cloud_plus_organization,10,5,6,0.48,0.07999999999999999,0.96,0.5120634920634921,0.6875,32
-36,36,metadata_only,10,5,4,0.8,0.48,1.0,0.835,0.1875,32
-36,36,cloud_area_only,10,5,2,0.36,0.15999999999999998,0.36000000000000004,0.4666666666666667,0.75,32
-36,36,organization_only,10,5,4,0.68,0.36,0.9600000000000001,0.7116666666666667,0.4375,32
-36,36,cloud_plus_organization,10,5,6,0.6,0.32,0.8800000000000001,0.6592857142857143,0.375,32
-24,24,metadata_only,10,5,4,0.8400000000000001,0.76,1.0,0.885,0.125,32
-24,24,cloud_area_only,10,5,2,0.8800000000000001,0.52,1.0,0.8766666666666667,0.125,32
-24,24,organization_only,10,5,4,0.64,0.31999999999999995,0.9600000000000001,0.6226190476190476,0.375,32
-24,24,cloud_plus_organization,10,5,6,0.72,0.31999999999999995,1.0,0.7295238095238095,0.3125,32
-12,12,metadata_only,10,5,4,0.88,0.76,1.0,0.925,0.0625,32
-12,12,cloud_area_only,10,5,2,0.9600000000000001,0.84,1.0,0.9666666666666666,0.0625,32
-12,12,organization_only,10,5,4,0.6,0.16000000000000003,1.0,0.6087301587301587,0.3125,32
-12,12,cloud_plus_organization,10,5,6,0.8400000000000001,0.52,1.0,0.885,0.125,32
-3,3,metadata_only,10,5,4,0.88,0.76,1.0,0.925,0.0625,32
-3,3,cloud_area_only,10,5,2,1.0,1.0,1.0,1.0,0.0625,32
-3,3,organization_only,10,5,4,0.88,0.76,1.0,0.925,0.0625,32
-3,3,cloud_plus_organization,10,5,6,1.0,1.0,1.0,1.0,0.0625,32
