block_width_m,feature,feature_group,hellegat_rho,hellegat_q,paulina_rho,paulina_q,same_direction,both_fdr_below_0p05
32.0,component_density_mean,static,-0.35862503143535224,0.0022500000000000003,-0.07766604860401559,0.4847142857142857,True,False
32.0,coverage_change_rate,dynamic,0.03867418652882902,0.686,-0.018808762474087224,0.825,False,False
32.0,coverage_mean,static,0.4299049054937399,0.0022500000000000003,0.39843566437181194,0.0045000000000000005,True,True
32.0,edge_change_rate,dynamic,0.21687395359961734,0.026999999999999996,0.0940533539113234,0.4847142857142857,True,False
32.0,edge_density_mean,static,-0.2877741473962225,0.0022500000000000003,-0.07898258428172389,0.4847142857142857,True,False
32.0,fragmentation_change_rate,dynamic,-0.1645627885522221,0.10285714285714286,-0.10028802244744396,0.4847142857142857,True,False
32.0,largest_component_change_rate,dynamic,-0.31210683635268444,0.0036000000000000003,-0.2593746282770254,0.015,True,True
32.0,largest_component_fraction_mean,static,0.3840886066110694,0.0022500000000000003,0.2938833841202236,0.0045000000000000005,True,True
32.0,turnover_rate,dynamic,-0.06726859602965798,0.5265000000000001,-0.0498545511361348,0.6176250000000001,True,False
64.0,component_density_mean,static,-0.3526894906704686,0.07919999999999999,-0.12409029257596153,0.576,True,False
64.0,coverage_change_rate,dynamic,0.30725744843391894,0.12899999999999998,-0.110699969164354,0.5811428571428572,False,False
64.0,coverage_mean,static,0.6051948051948052,0.0045000000000000005,0.39821153253160657,0.09,True,False
64.0,edge_change_rate,dynamic,0.44812834224598924,0.018000000000000002,0.0646931853222325,0.648,True,False
64.0,edge_density_mean,static,-0.2776165011459129,0.1337142857142857,-0.08282454517422139,0.648,True,False
64.0,fragmentation_change_rate,dynamic,-0.09613327669036785,0.633,-0.25125137978317347,0.216,True,False
64.0,largest_component_change_rate,dynamic,-0.42564574814415645,0.018000000000000002,-0.24853314503754778,0.216,True,False
64.0,largest_component_fraction_mean,static,0.5564725920979798,0.0045000000000000005,0.35565630524015973,0.0945,True,False
64.0,turnover_rate,dynamic,0.07929717341482047,0.633,-0.1511563367252544,0.576,False,False
128.0,component_density_mean,static,-0.32121212121212117,0.82575,0.014285714285714282,0.964,False,False
128.0,coverage_change_rate,dynamic,0.13939393939393938,1.0,0.03214285714285714,0.964,True,False
128.0,coverage_mean,static,0.5515151515151515,0.5175000000000001,0.5607142857142856,0.279,True,False
128.0,edge_change_rate,dynamic,0.07878787878787878,1.0,0.21428571428571427,0.8442000000000001,True,False
128.0,edge_density_mean,static,-0.5515151515151515,0.5175000000000001,0.06071428571428571,0.964,False,False
128.0,fragmentation_change_rate,dynamic,0.09090909090909088,1.0,-0.21071428571428572,0.8442000000000001,False,False
128.0,largest_component_change_rate,dynamic,0.006060606060606061,1.0,-0.37499999999999994,0.564,False,False
128.0,largest_component_fraction_mean,static,0.3939393939393939,0.82575,0.4071428571428571,0.564,True,False
128.0,turnover_rate,dynamic,-0.006060606060606061,1.0,0.021428571428571425,0.964,False,False
