site,block_width_m,feature,feature_group,n_blocks,spearman_rho,permutation_p,fdr_q
Hellegat,32.0,coverage_mean,static,112,0.4299049054937399,0.001,0.0022500000000000003
Hellegat,32.0,component_density_mean,static,112,-0.35862503143535224,0.001,0.0022500000000000003
Hellegat,32.0,largest_component_fraction_mean,static,112,0.3840886066110694,0.001,0.0022500000000000003
Hellegat,32.0,edge_density_mean,static,112,-0.2877741473962225,0.001,0.0022500000000000003
Hellegat,32.0,turnover_rate,dynamic,112,-0.06726859602965798,0.468,0.5265000000000001
Hellegat,32.0,coverage_change_rate,dynamic,112,0.03867418652882902,0.686,0.686
Hellegat,32.0,fragmentation_change_rate,dynamic,112,-0.1645627885522221,0.08,0.10285714285714286
Hellegat,32.0,edge_change_rate,dynamic,112,0.21687395359961734,0.018,0.026999999999999996
Hellegat,32.0,largest_component_change_rate,dynamic,112,-0.31210683635268444,0.002,0.0036000000000000003
Paulina,32.0,coverage_mean,static,136,0.39843566437181194,0.001,0.0045000000000000005
Paulina,32.0,component_density_mean,static,136,-0.07766604860401559,0.377,0.4847142857142857
Paulina,32.0,largest_component_fraction_mean,static,136,0.2938833841202236,0.001,0.0045000000000000005
Paulina,32.0,edge_density_mean,static,136,-0.07898258428172389,0.337,0.4847142857142857
Paulina,32.0,turnover_rate,dynamic,136,-0.0498545511361348,0.549,0.6176250000000001
Paulina,32.0,coverage_change_rate,dynamic,136,-0.018808762474087224,0.825,0.825
Paulina,32.0,fragmentation_change_rate,dynamic,136,-0.10028802244744396,0.23,0.4847142857142857
Paulina,32.0,edge_change_rate,dynamic,136,0.0940533539113234,0.283,0.4847142857142857
Paulina,32.0,largest_component_change_rate,dynamic,136,-0.2593746282770254,0.005,0.015
Hellegat,64.0,coverage_mean,static,34,0.6051948051948052,0.001,0.0045000000000000005
Hellegat,64.0,component_density_mean,static,34,-0.3526894906704686,0.044,0.07919999999999999
Hellegat,64.0,largest_component_fraction_mean,static,34,0.5564725920979798,0.001,0.0045000000000000005
Hellegat,64.0,edge_density_mean,static,34,-0.2776165011459129,0.104,0.1337142857142857
Hellegat,64.0,turnover_rate,dynamic,34,0.07929717341482047,0.633,0.633
Hellegat,64.0,coverage_change_rate,dynamic,34,0.30725744843391894,0.086,0.12899999999999998
Hellegat,64.0,fragmentation_change_rate,dynamic,34,-0.09613327669036785,0.585,0.633
Hellegat,64.0,edge_change_rate,dynamic,34,0.44812834224598924,0.008,0.018000000000000002
Hellegat,64.0,largest_component_change_rate,dynamic,34,-0.42564574814415645,0.007,0.018000000000000002
Paulina,64.0,coverage_mean,static,46,0.39821153253160657,0.01,0.09
Paulina,64.0,component_density_mean,static,46,-0.12409029257596153,0.384,0.576
Paulina,64.0,largest_component_fraction_mean,static,46,0.35565630524015973,0.021,0.0945
Paulina,64.0,edge_density_mean,static,46,-0.08282454517422139,0.591,0.648
Paulina,64.0,turnover_rate,dynamic,46,-0.1511563367252544,0.324,0.576
Paulina,64.0,coverage_change_rate,dynamic,46,-0.110699969164354,0.452,0.5811428571428572
Paulina,64.0,fragmentation_change_rate,dynamic,46,-0.25125137978317347,0.094,0.216
Paulina,64.0,edge_change_rate,dynamic,46,0.0646931853222325,0.648,0.648
Paulina,64.0,largest_component_change_rate,dynamic,46,-0.24853314503754778,0.096,0.216
Hellegat,128.0,coverage_mean,static,10,0.5515151515151515,0.106,0.5175000000000001
Hellegat,128.0,component_density_mean,static,10,-0.32121212121212117,0.367,0.82575
Hellegat,128.0,largest_component_fraction_mean,static,10,0.3939393939393939,0.288,0.82575
Hellegat,128.0,edge_density_mean,static,10,-0.5515151515151515,0.115,0.5175000000000001
Hellegat,128.0,turnover_rate,dynamic,10,-0.006060606060606061,1.0,1.0
Hellegat,128.0,coverage_change_rate,dynamic,10,0.13939393939393938,0.726,1.0
Hellegat,128.0,fragmentation_change_rate,dynamic,10,0.09090909090909088,0.822,1.0
Hellegat,128.0,edge_change_rate,dynamic,10,0.07878787878787878,0.84,1.0
Hellegat,128.0,largest_component_change_rate,dynamic,10,0.006060606060606061,1.0,1.0
Paulina,128.0,coverage_mean,static,15,0.5607142857142856,0.031,0.279
Paulina,128.0,component_density_mean,static,15,0.014285714285714282,0.964,0.964
Paulina,128.0,largest_component_fraction_mean,static,15,0.4071428571428571,0.13,0.564
Paulina,128.0,edge_density_mean,static,15,0.06071428571428571,0.821,0.964
Paulina,128.0,turnover_rate,dynamic,15,0.021428571428571425,0.942,0.964
Paulina,128.0,coverage_change_rate,dynamic,15,0.03214285714285714,0.904,0.964
Paulina,128.0,fragmentation_change_rate,dynamic,15,-0.21071428571428572,0.469,0.8442000000000001
Paulina,128.0,edge_change_rate,dynamic,15,0.21428571428571427,0.426,0.8442000000000001
Paulina,128.0,largest_component_change_rate,dynamic,15,-0.37499999999999994,0.188,0.564
