train_site,test_site,model,calibration_bin,person_intervals,predicted_probability,observed_probability
Hellegat,Paulina,stress_time,0,50100,0.041706575306903595,0.2234131736526946
Hellegat,Paulina,stress_time,1,44577,0.05998398890514197,0.4275747582834197
Hellegat,Paulina,stress_time,2,82082,0.07469206032161108,0.6198801198801199
Hellegat,Paulina,stress_time,3,76689,0.09320033562298412,0.6064363859223617
Hellegat,Paulina,stress_time,4,67806,0.13390030200647932,0.3674453588178037
Hellegat,Paulina,stress_time,5,137879,0.18425521769141107,0.18320411375191292
Hellegat,Paulina,stress_time,6,107735,0.27380201977181823,0.3716805123683111
Hellegat,Paulina,stress_time,7,142090,0.35342178290293375,0.5639594623126187
Hellegat,Paulina,stress_time,8,119712,0.4748356060458244,0.5883203020582732
Hellegat,Paulina,stress_time,9,115623,0.7850539551679376,0.7204967869714504
Hellegat,Paulina,stress_time_plus_current_patch,0,30047,0.016198872891010855,0.09545046094452025
Hellegat,Paulina,stress_time_plus_current_patch,1,61196,0.028108571515840643,0.3807438394666318
Hellegat,Paulina,stress_time_plus_current_patch,2,73559,0.04242662657950898,0.4331353063527237
Hellegat,Paulina,stress_time_plus_current_patch,3,107356,0.06567381729250993,0.35162450165803494
Hellegat,Paulina,stress_time_plus_current_patch,4,112604,0.09225192181685181,0.4054474086178111
Hellegat,Paulina,stress_time_plus_current_patch,5,121937,0.1302455062112998,0.4050616301860797
Hellegat,Paulina,stress_time_plus_current_patch,6,130212,0.18295144900205199,0.46640862593309373
Hellegat,Paulina,stress_time_plus_current_patch,7,101690,0.25655466414842265,0.5868325302389615
Hellegat,Paulina,stress_time_plus_current_patch,8,89580,0.38003669904279264,0.5649475329314579
Hellegat,Paulina,stress_time_plus_current_patch,9,116112,0.7412389062343304,0.7741404850489183
Hellegat,Paulina,stress_time_plus_origin_patch,0,35132,0.017731879345900717,0.1411818285323921
Hellegat,Paulina,stress_time_plus_origin_patch,1,46665,0.031420738945866084,0.3252759027108111
Hellegat,Paulina,stress_time_plus_origin_patch,2,64901,0.0464602079423983,0.45843669589066427
Hellegat,Paulina,stress_time_plus_origin_patch,3,63021,0.0617071489175522,0.40127893876644294
Hellegat,Paulina,stress_time_plus_origin_patch,4,91700,0.08459470633453688,0.5041221374045801
Hellegat,Paulina,stress_time_plus_origin_patch,5,123313,0.11698096484770039,0.45921354601704606
Hellegat,Paulina,stress_time_plus_origin_patch,6,148969,0.18365563244099298,0.34952238385167383
Hellegat,Paulina,stress_time_plus_origin_patch,7,129716,0.2734224706353781,0.565967189860927
Hellegat,Paulina,stress_time_plus_origin_patch,8,129812,0.400122311000924,0.565941515422303
Hellegat,Paulina,stress_time_plus_origin_patch,9,111064,0.7587199628585631,0.6729633364546568
Paulina,Hellegat,stress_time,0,97926,0.1290346168208128,0.0809795151440884
Paulina,Hellegat,stress_time,1,82523,0.1559384597323514,0.05593592089478085
Paulina,Hellegat,stress_time,2,82012,0.20580655941079726,0.20461639760035116
Paulina,Hellegat,stress_time,3,155734,0.2753092250868719,0.18338962590057406
Paulina,Hellegat,stress_time,4,128870,0.32342733069367796,0.21679987584387367
Paulina,Hellegat,stress_time,5,166555,0.3755543557203117,0.19214073429197562
Paulina,Hellegat,stress_time,6,161724,0.42023371213585686,0.20982661818901338
Paulina,Hellegat,stress_time,7,145948,0.4699301657130316,0.35583221421328143
Paulina,Hellegat,stress_time,8,80556,0.5341252803395228,0.45989125577238193
Paulina,Hellegat,stress_time,9,118682,0.8323589033789333,0.4607943917358993
Paulina,Hellegat,stress_time_plus_current_patch,0,93909,0.050947722723365715,0.10327018709601848
Paulina,Hellegat,stress_time_plus_current_patch,1,115749,0.13598994244845275,0.07557732680195942
Paulina,Hellegat,stress_time_plus_current_patch,2,122734,0.19463387239935093,0.11208792999494842
Paulina,Hellegat,stress_time_plus_current_patch,3,130272,0.24688550600304152,0.15780827806435765
Paulina,Hellegat,stress_time_plus_current_patch,4,102702,0.31000508967869644,0.27489240715857527
Paulina,Hellegat,stress_time_plus_current_patch,5,140494,0.38166749492515295,0.23136219340327702
Paulina,Hellegat,stress_time_plus_current_patch,6,144564,0.46146591324454583,0.24037796408511108
Paulina,Hellegat,stress_time_plus_current_patch,7,94397,0.5473644734144064,0.25122620422259184
Paulina,Hellegat,stress_time_plus_current_patch,8,109107,0.6539906805579198,0.40248563336907806
Paulina,Hellegat,stress_time_plus_current_patch,9,166602,0.8890360022598639,0.47750327126925246
Paulina,Hellegat,stress_time_plus_origin_patch,0,57899,0.13332400972080877,0.04639112938047289
Paulina,Hellegat,stress_time_plus_origin_patch,1,97270,0.18859708014008988,0.058435283232240155
Paulina,Hellegat,stress_time_plus_origin_patch,2,72240,0.24686949703168773,0.213468992248062
Paulina,Hellegat,stress_time_plus_origin_patch,3,114601,0.3058032569184355,0.1915690089964311
Paulina,Hellegat,stress_time_plus_origin_patch,4,110974,0.3654059969694459,0.23956962892208986
Paulina,Hellegat,stress_time_plus_origin_patch,5,127457,0.41255599325067593,0.22142369583467367
Paulina,Hellegat,stress_time_plus_origin_patch,6,187181,0.4834529372590073,0.2627456846581651
Paulina,Hellegat,stress_time_plus_origin_patch,7,180070,0.545508912441158,0.26829010940189923
Paulina,Hellegat,stress_time_plus_origin_patch,8,131575,0.6265736765000903,0.3053923617708531
Paulina,Hellegat,stress_time_plus_origin_patch,9,141263,0.8630059656038511,0.40493972236183573
