term,coefficient,train_site,test_site,model
intercept,-1.638638057767758,Paulina,Hellegat,stress_time
stress__inundation_fraction_sp_0,0.20962581480166348,Paulina,Hellegat,stress_time
stress__inundation_fraction_sp_1,0.22626102117851166,Paulina,Hellegat,stress_time
stress__inundation_fraction_sp_2,0.19325375536124076,Paulina,Hellegat,stress_time
stress__inundation_fraction_sp_3,0.1927466778617013,Paulina,Hellegat,stress_time
elapsed__log_elapsed_years_start,-0.09032454903613982,Paulina,Hellegat,stress_time
intercept,-1.6432450500190892,Paulina,Hellegat,stress_time_plus_origin_patch
stress__inundation_fraction_sp_0,0.07172099332828462,Paulina,Hellegat,stress_time_plus_origin_patch
stress__inundation_fraction_sp_1,-0.1542493152029361,Paulina,Hellegat,stress_time_plus_origin_patch
stress__inundation_fraction_sp_2,-0.07761905624926085,Paulina,Hellegat,stress_time_plus_origin_patch
stress__inundation_fraction_sp_3,-0.08529021118702929,Paulina,Hellegat,stress_time_plus_origin_patch
elapsed__log_elapsed_years_start,-0.06414833797762705,Paulina,Hellegat,stress_time_plus_origin_patch
patch__origin_coverage,0.38647561958625193,Paulina,Hellegat,stress_time_plus_origin_patch
patch__origin_component_density,0.14123117413439282,Paulina,Hellegat,stress_time_plus_origin_patch
patch__origin_largest_component_fraction,0.09047695787279333,Paulina,Hellegat,stress_time_plus_origin_patch
patch__origin_edge_density,-0.14912778627309572,Paulina,Hellegat,stress_time_plus_origin_patch
intercept,-1.477368460311571,Paulina,Hellegat,stress_time_plus_current_patch
stress__inundation_fraction_sp_0,0.0007909682249365488,Paulina,Hellegat,stress_time_plus_current_patch
stress__inundation_fraction_sp_1,-0.1389805459925598,Paulina,Hellegat,stress_time_plus_current_patch
stress__inundation_fraction_sp_2,-0.1937416539605045,Paulina,Hellegat,stress_time_plus_current_patch
stress__inundation_fraction_sp_3,-0.2946065509863787,Paulina,Hellegat,stress_time_plus_current_patch
elapsed__log_elapsed_years_start,-0.22762240173281795,Paulina,Hellegat,stress_time_plus_current_patch
patch__current_coverage,0.16402738041295434,Paulina,Hellegat,stress_time_plus_current_patch
patch__current_component_density,-0.08782021499936919,Paulina,Hellegat,stress_time_plus_current_patch
patch__current_largest_component_fraction,0.10168124248438754,Paulina,Hellegat,stress_time_plus_current_patch
patch__current_edge_density,0.5060759153638147,Paulina,Hellegat,stress_time_plus_current_patch
patch__history_turnover_rate,-1.7239833587915785,Paulina,Hellegat,stress_time_plus_current_patch
patch__history_coverage_change_rate,1.637701863767383,Paulina,Hellegat,stress_time_plus_current_patch
patch__history_fragmentation_change_rate,0.10062919078747416,Paulina,Hellegat,stress_time_plus_current_patch
patch__history_edge_change_rate,0.031587784326275646,Paulina,Hellegat,stress_time_plus_current_patch
patch__history_largest_component_change_rate,-0.08498404463300681,Paulina,Hellegat,stress_time_plus_current_patch
intercept,-2.3433258844297344,Hellegat,Paulina,stress_time
stress__inundation_fraction_sp_0,0.06237239082709199,Hellegat,Paulina,stress_time
stress__inundation_fraction_sp_1,0.3091913651850477,Hellegat,Paulina,stress_time
stress__inundation_fraction_sp_2,-0.14949995009331252,Hellegat,Paulina,stress_time
stress__inundation_fraction_sp_3,-0.38913678944685487,Hellegat,Paulina,stress_time
elapsed__log_elapsed_years_start,-0.22470028343713236,Hellegat,Paulina,stress_time
intercept,-2.361698682962151,Hellegat,Paulina,stress_time_plus_origin_patch
stress__inundation_fraction_sp_0,-0.04248128194148317,Hellegat,Paulina,stress_time_plus_origin_patch
stress__inundation_fraction_sp_1,0.18102520459965102,Hellegat,Paulina,stress_time_plus_origin_patch
stress__inundation_fraction_sp_2,-0.3241467076199854,Hellegat,Paulina,stress_time_plus_origin_patch
stress__inundation_fraction_sp_3,-0.5674723101284859,Hellegat,Paulina,stress_time_plus_origin_patch
elapsed__log_elapsed_years_start,-0.15982052200783567,Hellegat,Paulina,stress_time_plus_origin_patch
patch__origin_coverage,0.07743610557801588,Hellegat,Paulina,stress_time_plus_origin_patch
patch__origin_component_density,-0.31087990452722797,Hellegat,Paulina,stress_time_plus_origin_patch
patch__origin_largest_component_fraction,0.19930468653606737,Hellegat,Paulina,stress_time_plus_origin_patch
patch__origin_edge_density,0.26966281271291537,Hellegat,Paulina,stress_time_plus_origin_patch
intercept,-2.4161454577727146,Hellegat,Paulina,stress_time_plus_current_patch
stress__inundation_fraction_sp_0,-0.14201351424717584,Hellegat,Paulina,stress_time_plus_current_patch
stress__inundation_fraction_sp_1,-0.14930635612126478,Hellegat,Paulina,stress_time_plus_current_patch
stress__inundation_fraction_sp_2,-0.42634370316277115,Hellegat,Paulina,stress_time_plus_current_patch
stress__inundation_fraction_sp_3,-0.8321677409679329,Hellegat,Paulina,stress_time_plus_current_patch
elapsed__log_elapsed_years_start,-0.30135386626922706,Hellegat,Paulina,stress_time_plus_current_patch
patch__current_coverage,0.31322693415708264,Hellegat,Paulina,stress_time_plus_current_patch
patch__current_component_density,-0.3235915800711622,Hellegat,Paulina,stress_time_plus_current_patch
patch__current_largest_component_fraction,0.01176470572656676,Hellegat,Paulina,stress_time_plus_current_patch
patch__current_edge_density,0.45048319479999627,Hellegat,Paulina,stress_time_plus_current_patch
patch__history_turnover_rate,0.022986471150832657,Hellegat,Paulina,stress_time_plus_current_patch
patch__history_coverage_change_rate,0.007381591932505983,Hellegat,Paulina,stress_time_plus_current_patch
patch__history_fragmentation_change_rate,-0.0572090950431597,Hellegat,Paulina,stress_time_plus_current_patch
patch__history_edge_change_rate,0.21213189261065488,Hellegat,Paulina,stress_time_plus_current_patch
patch__history_largest_component_change_rate,-0.1788873406018521,Hellegat,Paulina,stress_time_plus_current_patch
