time,patch_count,total_patch_area,largest_patch_area,mean_patch_area,largest_patch_ratio,fragmentation_density,pdsi,dpci,dpcr,fai,psii
0,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
1,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
2,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
3,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
4,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
5,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
6,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
7,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
8,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
9,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
10,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
11,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
12,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
13,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
14,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
15,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
16,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
17,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
18,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
19,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
20,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
21,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
22,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
23,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
24,1,81.0,81.0,81.0,0.9999999998765433,0.012345679010821523,0.0,0.0,0.0,0.0,0.0
25,2,90.0,81.0,45.0,0.8999999999,0.022222222219753087,0.5579230360299496,0.0,0.0,0.009876543208931565,1.7325102880595438
26,2,122.0,113.0,61.0,0.926229508120801,0.016393442621607097,0.0,0.3950617283950617,0.0,0.0,1.6666666666666667
27,2,122.0,113.0,61.0,0.926229508120801,0.016393442621607097,0.0,0.0,0.0,0.00582877959814599,0.038858530654306604
28,2,122.0,113.0,61.0,0.926229508120801,0.016393442621607097,0.0,0.0,0.0,0.0,0.0
29,2,122.0,113.0,61.0,0.926229508120801,0.016393442621607097,0.0,0.0,0.0,0.0,0.0
30,2,122.0,113.0,61.0,0.926229508120801,0.016393442621607097,0.0,0.0,0.0,0.0,0.0
31,2,122.0,113.0,61.0,0.926229508120801,0.016393442621607097,0.0,0.0,0.0,0.0,0.0
32,3,167.0,149.0,55.666666666666664,0.8922155688088493,0.017964071855211733,0.6521376914682723,0.3185840707964602,0.0,0.001570629233604636,3.343804194890698
33,3,167.0,149.0,55.666666666666664,0.8922155688088493,0.017964071855211733,0.0,0.0,0.0,0.0,0.0
34,3,167.0,149.0,55.666666666666664,0.8922155688088493,0.017964071855211733,0.0,0.0,0.0,0.0,0.0
35,3,167.0,149.0,55.666666666666664,0.8922155688088493,0.017964071855211733,0.0,0.0,0.0,0.0,0.0
36,3,167.0,149.0,55.666666666666664,0.8922155688088493,0.017964071855211733,0.0,0.0,0.0,0.0,0.0
37,3,215.0,197.0,71.66666666666667,0.9162790697248242,0.013953488371444023,0.0,0.3221476510067114,0.0,0.0,1.6666666666666667
38,3,215.0,197.0,71.66666666666667,0.9162790697248242,0.013953488371444023,0.0,0.0,0.0,0.00401058348376771,0.026737223225118064
39,3,215.0,197.0,71.66666666666667,0.9162790697248242,0.013953488371444023,0.0,0.0,0.0,0.0,0.0
40,4,224.0,197.0,56.0,0.8794642856750239,0.017857142856345664,0.07795825753426323,0.0,0.0,0.003903654484901641,0.5457460801277658
41,4,224.0,197.0,56.0,0.8794642856750239,0.017857142856345664,0.0,0.0,0.0,0.0,0.0
42,4,224.0,197.0,56.0,0.8794642856750239,0.017857142856345664,0.0,0.0,0.0,0.0,0.0
43,5,286.0,255.0,57.2,0.8916083915772165,0.017482517481906205,0.32868151431410003,0.29441624365482233,0.0,0.0,3.3333333333333335
44,8,296.0,253.0,37.0,0.8547297297008537,0.02702702702611395,0.2703775271740787,0.0,0.00784313725490196,0.009919134918647203,1.7327942327909813
45,8,299.0,253.0,37.375,0.8461538461255467,0.02675585284191452,0.0,0.0,0.0,0.0,0.0
46,11,308.0,253.0,28.0,0.8214285714019016,0.03571428571312616,0.11710882788286969,0.0,0.0,0.009229607055411069,0.8422562329218718
47,12,318.0,255.0,26.5,0.8018867924276136,0.03773584905541711,0.027010059869914768,0.007905138339920948,0.0,0.0,0.23276798806557142
48,11,388.0,327.0,35.27272727272727,0.8427835051329179,0.028350515463186843,0.2961957185756317,0.2823529411764706,0.0,0.0,3.3333333333333335
49,17,398.0,317.0,23.41176470588235,0.7964824120402894,0.04271356783812277,0.11934314086430282,0.0,0.03058103975535168,0.023748385967166198,0.9539435122097935
50,13,385.0,322.0,29.615384615384617,0.8363636363419126,0.03376623376535672,0.0692101031799608,0.015772870662460567,0.0,0.0,0.5665531589494758
51,18,405.0,322.0,22.5,0.7950617283754305,0.04444444444334705,0.08238398075497998,0.0,0.0,0.019625544750756382,0.6800635033715756
52,18,411.0,326.0,22.833333333333332,0.7931873479125745,0.043795620436890614,0.0,0.012422360248447204,0.0,0.0,0.08281573498964802
53,23,429.0,318.0,18.652173913043477,0.7412587412414625,0.05361305361180389,0.02436280500280496,0.0,0.024539877300613498,0.010466257181369717,0.23219374789449784
54,18,472.0,385.0,26.22222222222222,0.8156779660844136,0.03813559321953103,0.02436280500280496,0.21069182389937108,0.0,0.0,1.56703085934784
55,25,492.0,381.0,19.68,0.7743902438866994,0.050813008129048515,0.0673276289992178,0.0,0.01038961038961039,0.028154875301790352,0.6365500286733877
56,22,486.0,383.0,22.09090909090909,0.7880658436051838,0.04526748971100272,0.02462071483955188,0.005249343832020997,0.0,0.0,0.1991337244771525
57,22,554.0,447.0,25.181818181818183,0.8068592057616091,0.039711191335023266,0.05308992813734359,0.1671018276762402,0.0,0.0,1.4679450387572253
58,19,639.0,542.0,33.63157894736842,0.8482003129757715,0.02973395931095878,0.2374381271480166,0.21252796420581654,0.0,0.0,2.9997739423588876
59,19,720.0,623.0,37.89473684210526,0.86527777776576,0.026388888888522376,0.0,0.14944649446494465,0.0,0.006632161601628078,1.0405243737771515
60,24,824.0,713.0,34.333333333333336,0.8652912621254212,0.029126213591879536,0.10566381014089027,0.14446227929373998,0.0,0.006082395125793564,1.7080565637361584
61,13,887.0,814.0,68.23076923076923,0.9177001127292255,0.014656144306486402,0.0999239289266286,0.14165497896213183,0.0,0.0,1.6105260525917362
62,17,890.0,802.0,52.35294117647059,0.901123595495493,0.019101123595290998,0.0306003541791047,0.0,0.014742014742014743,0.01891504857419773,0.3301026850220162
63,17,983.0,902.0,57.8235294117647,0.917599186155467,0.017293997965236074,0.06237096009728759,0.12468827930174564,0.0,0.0,1.2470615959935547
64,18,1103.0,1017.0,61.27777777777778,0.9220308250143062,0.016319129646270907,0.013216626889840702,0.12749445676274945,0.0,0.0008322573110897576,0.9436222730911994
65,22,1239.0,1133.0,56.31818181818182,0.9144471347787374,0.017756255044247327,0.22527459242745337,0.11406096361848574,0.0,0.002411993716941587,2.278316998419205
66,17,1350.0,1269.0,79.41176470588235,0.9399999999930371,0.012592592592499315,0.025763777791874276,0.12003530450132392,0.0,0.0,0.9719938819546545
67,16,1452.0,1377.0,90.75,0.9483471074314853,0.011019283746480583,0.014568763459812431,0.0851063829787234,0.0,0.0035903536057292802,0.6884366669617674
68,12,1590.0,1521.0,132.5,0.9566037735788894,0.007547169811273288,0.07795825753426341,0.10457516339869281,0.0,0.0,1.2168894728863748
69,9,1576.0,1521.0,175.11111111111111,0.965101522836516,0.005710659898440922,0.24744611902402516,0.0,0.0,0.0016356040223749289,1.6605448203093338
70,8,1715.0,1677.0,214.375,0.977842565591966,0.004664723032042771,0.24065380522627428,0.10256410256410256,0.0,0.0007905730464342151,2.2933898722454065
71,13,1868.0,1806.0,143.69230769230768,0.9668094218363662,0.006959314775123344,0.07541188920608288,0.07692307692307693,0.0,0.003340528609478724,1.0378366315909235
72,7,2009.0,1980.0,287.0,0.9855649576854876,0.003484320557473946,0.12206617517984844,0.09634551495016612,0.0,0.0,1.4560779342000971
73,7,2167.0,2136.0,309.57142857142856,0.9856945085325995,0.0032302722657903543,0.3779644520343448,0.07878787878787878,0.0,0.003220945925965807,2.213392164758964
74,10,2342.0,2301.0,234.2,0.9824935952135675,0.004269854824917721,0.08505927068714185,0.07724719101123595,0.0,0.0012936308508109582,1.0906672836612583
75,3,2475.0,2462.0,825.0,0.9947474747434556,0.0012121212121163148,0.40868791055156256,0.06996957844415472,0.0,0.0,2.1331305229610313
76,3,2476.0,2459.0,825.3333333333334,0.9931340872334689,0.0012116316639692584,0.0,0.0,0.0012185215272136475,0.0030572440646543498,0.020381627097695663
77,3,2662.0,2649.0,887.3333333333334,0.9951164537904016,0.0011269722013481332,0.0,0.07726718178121188,0.0,0.0,0.5151145452080791
78,4,2849.0,2833.0,712.25,0.9943839943805042,0.001404001403996476,0.14394734946048696,0.06946017365043412,0.0,0.00036168866526946797,1.425128078507937
79,2,3016.0,3010.0,1508.0,0.9980106100762666,0.0006631299734726024,0.3945111575858166,0.06247793858100953,0.0,0.0,2.08318625720673
