Seed,Num_Sims,Grid,Sim_Steps,Horizon,Feature_Group,Reg_Weight,Weight_Decay,Run_Dir,RMSE,MAE,R2,AUC,AUPRC,ACC,F1,Precision,Recall,Best_Threshold,Positive_Rate,TN,FP,FN,TP
42,300,64,200,30,classic_dynamic_patch,0.0,0.001,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed42_sims300_L64_steps200_h30_groupclassic_dynamic_patch_rw0.0_wd0.001,45.426295,35.042261,-0.891617,0.867275,0.822468,0.799276,0.737661,0.722038,0.753974,0.48,0.374289,1999.0,420.0,356.0,1091.0
123,300,64,200,30,classic_dynamic_patch,0.0,0.001,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed123_sims300_L64_steps200_h30_groupclassic_dynamic_patch_rw0.0_wd0.001,47.688905,34.937961,-1.006104,0.903367,0.884273,0.823849,0.801034,0.779384,0.82392,0.41,0.430369,1641.0,351.0,265.0,1240.0
2026,300,64,200,30,classic_dynamic_patch,0.0,0.001,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed2026_sims300_L64_steps200_h30_groupclassic_dynamic_patch_rw0.0_wd0.001,46.4359,34.175413,-0.901143,0.880127,0.844927,0.787297,0.772351,0.685946,0.88366,0.26,0.408327,1598.0,619.0,178.0,1352.0
3407,300,64,200,30,classic_dynamic_patch,0.0,0.001,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed3407_sims300_L64_steps200_h30_groupclassic_dynamic_patch_rw0.0_wd0.001,44.623096,33.329985,-0.905894,0.860293,0.824743,0.746604,0.731451,0.64033,0.852808,0.31,0.40465,1537.0,742.0,228.0,1321.0
7777,300,64,200,30,classic_dynamic_patch,0.0,0.001,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed7777_sims300_L64_steps200_h30_groupclassic_dynamic_patch_rw0.0_wd0.001,47.092157,35.106959,-0.903306,0.827784,0.800502,0.777268,0.708584,0.716941,0.700419,0.46,0.386609,1876.0,396.0,429.0,1003.0
42,300,64,200,30,classic_patch_only,0.0,0.001,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed42_sims300_L64_steps200_h30_groupclassic_patch_only_rw0.0_wd0.001,50.541785,38.554874,-1.341638,0.867262,0.819092,0.780135,0.737492,0.666667,0.825155,0.41,0.374289,1822.0,597.0,253.0,1194.0
123,300,64,200,30,classic_patch_only,0.0,0.001,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed123_sims300_L64_steps200_h30_groupclassic_patch_only_rw0.0_wd0.001,42.041602,30.318371,-0.559112,0.905039,0.887507,0.843008,0.803718,0.869969,0.746844,0.5,0.430369,1824.0,168.0,381.0,1124.0
2026,300,64,200,30,classic_patch_only,0.0,0.001,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed2026_sims300_L64_steps200_h30_groupclassic_patch_only_rw0.0_wd0.001,47.192437,35.621139,-0.963595,0.884264,0.850263,0.802242,0.77953,0.715456,0.856209,0.31,0.408327,1696.0,521.0,220.0,1310.0
3407,300,64,200,30,classic_patch_only,0.0,0.001,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed3407_sims300_L64_steps200_h30_groupclassic_patch_only_rw0.0_wd0.001,49.365875,38.283547,-1.332561,0.85608,0.822948,0.75418,0.727799,0.659329,0.812137,0.38,0.40465,1629.0,650.0,291.0,1258.0
7777,300,64,200,30,classic_patch_only,0.0,0.001,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed7777_sims300_L64_steps200_h30_groupclassic_patch_only_rw0.0_wd0.001,49.585805,37.335127,-1.110213,0.824056,0.799291,0.75216,0.698819,0.659035,0.743715,0.43,0.386609,1721.0,551.0,367.0,1065.0
42,300,64,200,30,dynamic_patch_only,0.0,0.001,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed42_sims300_L64_steps200_h30_groupdynamic_patch_only_rw0.0_wd0.001,44.901448,34.020404,-0.848159,0.55736,0.44607,0.374289,0.544702,0.374289,1.0,0.05,0.374289,0.0,2419.0,0.0,1447.0
