Seed,Feature_Group,Method,Threshold,Num_Samples,Num_True_Risk,Num_Predicted_Alarm,Num_Correct_Alarm,Num_False_Alarm,Num_Missed_Alarm,Alarm_Recall,Alarm_Precision,LeadTime_Mean,LeadTime_Median,LeadTime_Std,LeadTime_Q25,LeadTime_Q75,MissedLeadTime_Mean,Run_Dir
42,traditional_ews_only,Traditional EWS,0.44,3866,1447,1681,1119,562,328,0.7733241188666206,0.6656751933372992,14.058087578194817,14.0,8.358429823368745,7.0,21.0,18.246951219512194,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed42_sims300_L64_steps200_h30_grouptraditional_ews_only_rw0.0_wd0.001
123,traditional_ews_only,Traditional EWS,0.42,3497,1505,1688,1243,445,262,0.8259136212624585,0.7363744075829384,13.781979082864039,13.0,8.275252492192973,7.0,20.0,21.88167938931298,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed123_sims300_L64_steps200_h30_grouptraditional_ews_only_rw0.0_wd0.001
2026,traditional_ews_only,Traditional EWS,0.4,3747,1530,1708,1225,483,305,0.8006535947712419,0.7172131147540983,13.656326530612246,13.0,8.258502920113665,7.0,20.0,22.167213114754098,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed2026_sims300_L64_steps200_h30_grouptraditional_ews_only_rw0.0_wd0.001
3407,traditional_ews_only,Traditional EWS,0.49,3828,1549,1674,1145,529,404,0.7391865719819238,0.6839904420549582,13.421834061135371,13.0,8.275693944899306,6.0,20.0,20.405940594059405,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed3407_sims300_L64_steps200_h30_grouptraditional_ews_only_rw0.0_wd0.001
7777,traditional_ews_only,Traditional EWS,0.33,3704,1432,1872,1069,803,363,0.7465083798882681,0.5710470085470085,14.148737137511693,14.0,8.544516102516102,7.0,21.0,17.911845730027547,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed7777_sims300_L64_steps200_h30_grouptraditional_ews_only_rw0.0_wd0.001
42,image_only,Image only,0.22,3866,1447,1761,1147,614,300,0.7926744989633725,0.6513344690516751,13.879686137750653,13.0,8.28081513969756,7.0,21.0,19.32,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed42_sims300_L64_steps200_h30_groupimage_only_rw0.0_wd0.001
123,image_only,Image only,0.4,3497,1505,1768,1284,484,221,0.8531561461794019,0.7262443438914027,14.097352024922118,14.0,8.338083753684915,7.0,21.0,21.552036199095024,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed123_sims300_L64_steps200_h30_groupimage_only_rw0.0_wd0.001
2026,image_only,Image only,0.47,3747,1530,1706,1238,468,292,0.8091503267973856,0.7256740914419695,13.863489499192246,13.0,8.296736495736107,7.0,21.0,21.66780821917808,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed2026_sims300_L64_steps200_h30_groupimage_only_rw0.0_wd0.001
3407,image_only,Image only,0.41,3828,1549,1913,1222,691,327,0.788896061975468,0.6387872451646628,13.528641571194763,13.0,8.191928747069172,7.0,20.0,21.65137614678899,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed3407_sims300_L64_steps200_h30_groupimage_only_rw0.0_wd0.001
7777,image_only,Image only,0.38,3704,1432,1637,1059,578,373,0.7395251396648045,0.6469150885766646,14.083097261567517,13.0,8.46401743583077,7.0,21.0,17.99731903485255,C:\Users\MSI-PC\PycharmProjects\PythonProject4\scripts\results\seed7777_sims300_L64_steps200_h30_groupimage_only_rw0.0_wd0.001
