source,target,mode,calibrated,calibration_offset,n_intervals,n_blocks,brier,log_loss,calibration_bias,auc,subset,degradation
Hellegat,Paulina,baseline,False,0.0,365,10,0.1767990645504265,0.5526140345010468,0.2773584619021377,0.7151119960460602,,
Hellegat,Paulina,baseline,True,-1.115085895785706,365,10,0.0913858362841388,0.3145473782762099,0.061195334590324,0.7151119960460602,,
Hellegat,Paulina,quality,False,0.0,365,10,0.0850599098322021,0.3119735016273305,-0.041102801239023,0.6988382288963522,,
Hellegat,Paulina,quality,True,1.1687932008315975,365,10,0.0910163084541059,0.3165022830642782,0.0592286074386751,0.6988382288963522,,
Hellegat,Paulina,spatial,False,0.0,365,10,0.0889674969521983,0.3657191733559847,-0.0663446809956882,0.6061364692919022,,
Hellegat,Paulina,spatial,True,2.061253858113548,365,10,0.101510053298836,0.3518588816172689,0.0925515946280103,0.6061364692919022,,
Hellegat,Paulina,qir,False,0.0,365,10,0.0860740365501643,0.3223274980774303,-0.0534082248744733,0.7151119960460602,,
Hellegat,Paulina,qir,True,1.4680287902190474,365,10,0.0913858425112013,0.3145473965530118,0.0611953672897833,0.7151119960460602,,
Paulina,Hellegat,baseline,False,0.0,311,8,0.1989078388427577,0.6100485229144468,0.2384634476000787,0.4731763519675332,,
Paulina,Hellegat,baseline,True,-1.1371521094581316,311,8,0.1169878099662037,0.4039594212736965,0.0292346337893275,0.4731763519675332,,
Paulina,Hellegat,quality,False,0.0,311,8,0.1075861497764969,0.392322914123391,-0.0367507725585679,0.4903153456645177,,
Paulina,Hellegat,quality,True,0.6978477499526277,311,8,0.1146706106684625,0.3924002040194416,0.0309823559488622,0.4903153456645177,,
Paulina,Hellegat,spatial,False,0.0,311,8,0.101602688715149,0.3351386832560828,-0.0302589681311108,0.7664961528828106,,
Paulina,Hellegat,spatial,True,0.397948675464781,311,8,0.1039534865154571,0.3319679674840153,0.0040525907125198,0.7664961528828106,,
Paulina,Hellegat,qir,False,0.0,311,8,0.1099960992218414,0.3964202810758008,-0.021356468547337,0.4862456350006736,,
Paulina,Hellegat,qir,True,0.4477216779183354,311,8,0.1159881911540701,0.400544122362833,0.0236394490221615,0.4862456350006736,,
Hellegat,Paulina,historical_spline,False,0.0,365,10,0.09254571890539462,0.468762680561586,-0.05885253458407928,0.44877954675727894,,
Hellegat,Paulina,historical_spline,True,4.999994710716215,365,10,0.5674409426928592,4.875537134821521,0.5967036389239004,0.4487795467572789,,
Paulina,Hellegat,historical_spline,False,0.0,311,8,0.11870800811820567,1.003588633883676,-0.09291321761734489,0.5435021572910811,,
Paulina,Hellegat,historical_spline,True,-0.322983392018039,311,8,0.11715153263336578,1.0310839304753832,-0.09771736983790141,0.5436008071547611,,
