event_id,domain,block_id,row,col,loss_index,loss_time,exit_time,recovered,exit_reason
Hellegat:165:158:7,Hellegat,Hellegat:0:0,165,158,7,2008.0,2011.0,True,observed_recovery
Hellegat:165:158:10,Hellegat,Hellegat:0:0,165,158,10,2012.0,2012.0,False,end_of_observation
Hellegat:167:159:7,Hellegat,Hellegat:0:0,167,159,7,2008.0,2011.0,True,observed_recovery
Hellegat:167:159:10,Hellegat,Hellegat:0:0,167,159,10,2012.0,2012.0,False,end_of_observation
Hellegat:178:401:2,Hellegat,Hellegat:0:1,178,401,2,1993.0,2012.0,False,end_of_observation
Hellegat:106:397:1,Hellegat,Hellegat:0:1,106,397,1,1982.0,1993.0,True,observed_recovery
Hellegat:106:397:3,Hellegat,Hellegat:0:1,106,397,3,1996.0,1998.0,True,observed_recovery
Hellegat:165:436:2,Hellegat,Hellegat:0:1,165,436,2,1993.0,2012.0,False,end_of_observation
Hellegat:124:435:7,Hellegat,Hellegat:0:1,124,435,7,2008.0,2012.0,False,end_of_observation
Hellegat:145:333:4,Hellegat,Hellegat:0:1,145,333,4,1998.0,2001.0,True,observed_recovery
Hellegat:145:333:7,Hellegat,Hellegat:0:1,145,333,7,2008.0,2011.0,True,observed_recovery
Hellegat:145:333:10,Hellegat,Hellegat:0:1,145,333,10,2012.0,2012.0,False,end_of_observation
Hellegat:153:390:4,Hellegat,Hellegat:0:1,153,390,4,1998.0,2012.0,False,end_of_observation
Hellegat:139:366:4,Hellegat,Hellegat:0:1,139,366,4,1998.0,2008.0,True,observed_recovery
Hellegat:139:366:8,Hellegat,Hellegat:0:1,139,366,8,2010.0,2012.0,False,end_of_observation
Hellegat:96:329:8,Hellegat,Hellegat:0:1,96,329,8,2010.0,2012.0,False,end_of_observation
Hellegat:118:348:4,Hellegat,Hellegat:0:1,118,348,4,1998.0,2012.0,False,end_of_observation
Hellegat:141:336:4,Hellegat,Hellegat:0:1,141,336,4,1998.0,2012.0,False,end_of_observation
Hellegat:137:349:4,Hellegat,Hellegat:0:1,137,349,4,1998.0,2001.0,True,observed_recovery
Hellegat:137:349:6,Hellegat,Hellegat:0:1,137,349,6,2004.0,2012.0,False,end_of_observation
Hellegat:100:345:4,Hellegat,Hellegat:0:1,100,345,4,1998.0,2012.0,False,end_of_observation
Hellegat:126:342:5,Hellegat,Hellegat:0:1,126,342,5,2001.0,2008.0,True,observed_recovery
Hellegat:126:342:8,Hellegat,Hellegat:0:1,126,342,8,2010.0,2012.0,False,end_of_observation
Hellegat:134:375:5,Hellegat,Hellegat:0:1,134,375,5,2001.0,2012.0,False,end_of_observation
Hellegat:165:400:8,Hellegat,Hellegat:0:1,165,400,8,2010.0,2011.0,True,observed_recovery
Hellegat:175:367:8,Hellegat,Hellegat:0:1,175,367,8,2010.0,2012.0,True,observed_recovery
Hellegat:107:356:1,Hellegat,Hellegat:0:1,107,356,1,1982.0,2012.0,False,end_of_observation
Hellegat:121:345:4,Hellegat,Hellegat:0:1,121,345,4,1998.0,2012.0,False,end_of_observation
Hellegat:128:405:10,Hellegat,Hellegat:0:1,128,405,10,2012.0,2012.0,False,end_of_observation
Hellegat:142:386:3,Hellegat,Hellegat:0:1,142,386,3,1996.0,1998.0,True,observed_recovery
Hellegat:142:386:5,Hellegat,Hellegat:0:1,142,386,5,2001.0,2008.0,True,observed_recovery
Hellegat:142:386:8,Hellegat,Hellegat:0:1,142,386,8,2010.0,2012.0,False,end_of_observation
Hellegat:110:373:2,Hellegat,Hellegat:0:1,110,373,2,1993.0,2012.0,False,end_of_observation
Hellegat:153:603:2,Hellegat,Hellegat:0:2,153,603,2,1993.0,2012.0,False,end_of_observation
Hellegat:130:648:8,Hellegat,Hellegat:0:2,130,648,8,2010.0,2012.0,False,end_of_observation
Hellegat:186:577:1,Hellegat,Hellegat:0:2,186,577,1,1982.0,2012.0,False,end_of_observation
Hellegat:178:676:2,Hellegat,Hellegat:0:2,178,676,2,1993.0,2012.0,False,end_of_observation
Hellegat:185:663:5,Hellegat,Hellegat:0:2,185,663,5,2001.0,2012.0,False,end_of_observation
Hellegat:162:637:2,Hellegat,Hellegat:0:2,162,637,2,1993.0,2012.0,False,end_of_observation
Hellegat:156:686:5,Hellegat,Hellegat:0:2,156,686,5,2001.0,2012.0,False,end_of_observation
Hellegat:176:688:3,Hellegat,Hellegat:0:2,176,688,3,1996.0,2012.0,False,end_of_observation
Hellegat:157:671:2,Hellegat,Hellegat:0:2,157,671,2,1993.0,2012.0,False,end_of_observation
Hellegat:164:868:4,Hellegat,Hellegat:0:3,164,868,4,1998.0,2012.0,False,end_of_observation
Hellegat:141:886:2,Hellegat,Hellegat:0:3,141,886,2,1993.0,2012.0,False,end_of_observation
