Source_File,Result_Type,Seed,Horizon,Feature_Mode,AUC,AUPRC,ACC,F1,Precision,Recall,Best_Threshold,Positive_Rate,TN,FP,FN,TP,LeadTime_Mean,LeadTime_Median,LeadTime_Q25,LeadTime_Q75,Model
results\seed42_sims300_L64_steps200_h30_modefull_rw0.0_wd0.001,deep_model,42.0,30.0,full,0.867752,0.829559,0.785566,0.73438,0.684588,0.791983,0.38,0.374289,1891.0,528.0,301.0,1146.0,,,,,
results\seed42_sims300_L64_steps200_h30_modeimg_only_rw0.0_wd0.001,deep_model,42.0,30.0,img_only,0.858031,0.800115,0.773927,0.718609,0.672694,0.771251,0.38,0.374289,1876.0,543.0,331.0,1116.0,,,,,
results\seed42_sims300_L64_steps200_h30_modepatch_only_rw0.0_wd0.001,deep_model,42.0,30.0,patch_only,0.870109,0.82299,0.795396,0.742597,0.701722,0.788528,0.45,0.374289,1934.0,485.0,306.0,1141.0,,,,,
results\seed123_sims300_L64_steps200_h30_modefull_rw0.0_wd0.001,deep_model,123.0,30.0,full,0.906707,0.889235,0.824707,0.805211,0.77162,0.84186,0.46,0.430369,1617.0,375.0,238.0,1267.0,,,,,
results\seed123_sims300_L64_steps200_h30_modeimg_only_rw0.0_wd0.001,deep_model,123.0,30.0,img_only,0.888295,0.867367,0.790964,0.781856,0.709642,0.870432,0.29,0.430369,1456.0,536.0,195.0,1310.0,,,,,
results\seed123_sims300_L64_steps200_h30_modepatch_only_rw0.0_wd0.001,deep_model,123.0,30.0,patch_only,0.905039,0.887507,0.843008,0.803718,0.869969,0.746844,0.5,0.430369,1824.0,168.0,381.0,1124.0,,,,,
results\seed2026_sims300_L64_steps200_h30_modefull_rw0.0_wd0.001,deep_model,2026.0,30.0,full,0.881328,0.850402,0.812383,0.779555,0.749247,0.812418,0.3,0.408327,1801.0,416.0,287.0,1243.0,,,,,
results\seed2026_sims300_L64_steps200_h30_modeimg_only_rw0.0_wd0.001,deep_model,2026.0,30.0,img_only,0.861706,0.82275,0.798772,0.765693,0.729858,0.805229,0.45,0.408327,1761.0,456.0,298.0,1232.0,,,,,
results\seed2026_sims300_L64_steps200_h30_modepatch_only_rw0.0_wd0.001,deep_model,2026.0,30.0,patch_only,0.884239,0.849911,0.800641,0.7801,0.709695,0.866013,0.29,0.408327,1675.0,542.0,205.0,1325.0,,,,,
scripts\results\seed3407_sims300_L64_steps200_h30_modefull_rw0.0_wd0.001,deep_model,3407.0,30.0,full,0.854757,0.819093,0.757576,0.736064,0.657855,0.835378,0.34,0.40465,1606.0,673.0,255.0,1294.0,,,,,
scripts\results\seed3407_sims300_L64_steps200_h30_modeimg_only_rw0.0_wd0.001,deep_model,3407.0,30.0,img_only,0.820072,0.773972,0.743208,0.699296,0.664535,0.737895,0.39,0.40465,1702.0,577.0,406.0,1143.0,,,,,
scripts\results\seed3407_sims300_L64_steps200_h30_modepatch_only_rw0.0_wd0.001,deep_model,3407.0,30.0,patch_only,0.85608,0.822948,0.75418,0.727799,0.659329,0.812137,0.38,0.40465,1629.0,650.0,291.0,1258.0,,,,,
scripts\results\seed7777_sims300_L64_steps200_h30_modefull_rw0.0_wd0.001,deep_model,7777.0,30.0,full,0.822441,0.79733,0.74838,0.698966,0.65024,0.755587,0.4,0.386609,1690.0,582.0,350.0,1082.0,,,,,
scripts\results\seed7777_sims300_L64_steps200_h30_modeimg_only_rw0.0_wd0.001,deep_model,7777.0,30.0,img_only,0.802955,0.761572,0.736501,0.683938,0.637681,0.73743,0.34,0.386609,1672.0,600.0,376.0,1056.0,,,,,
scripts\results\seed7777_sims300_L64_steps200_h30_modepatch_only_rw0.0_wd0.001,deep_model,7777.0,30.0,patch_only,0.824056,0.799291,0.75216,0.698819,0.659035,0.743715,0.43,0.386609,1721.0,551.0,367.0,1065.0,,,,,
results\sims100_L64_steps200_h15_modefull_rw0.0_wd0.001,deep_model,,15.0,full,0.863004,0.692018,0.864178,0.664047,0.707113,0.625926,0.38,0.214456,919.0,70.0,101.0,169.0,,,,,
results\sims100_L64_steps200_h30_modefull_rw0.0_wd0.001,deep_model,,30.0,full,0.841737,0.814094,0.720413,0.722835,0.62027,0.866038,0.27,0.420969,448.0,281.0,71.0,459.0,,,,,
results\sims300_L64_steps200_h30_modefull_rw0.0_wd0.001,deep_model,,30.0,full,0.869766,0.83437,0.786601,0.734641,0.687124,0.789219,0.32,0.374289,1899.0,520.0,305.0,1142.0,,,,,
results\sims100_L64_steps200_h45_modefull_rw0.0_wd0.001,deep_model,,45.0,full,0.762783,0.837273,0.715647,0.800668,0.693346,0.947299,0.31,0.602859,182.0,318.0,40.0,719.0,,,,,
results\sims100_L64_steps200_h60_modefull_rw0.0_wd0.001,deep_model,,60.0,full,0.74434,0.903732,0.76251,0.861382,0.76587,0.98411,0.47,0.749801,31.0,284.0,15.0,929.0,,,,,
results\sims300_L64_steps200_h30_modeimg_only_rw0.0_wd0.001,deep_model,,30.0,img_only,0.854547,0.791657,0.780135,0.71742,0.691224,0.745681,0.45,0.374289,1937.0,482.0,368.0,1079.0,,,,,
results\sims300_L64_steps200_h30_modepatch_only_rw0.0_wd0.001,deep_model,,30.0,patch_only,0.870109,0.82299,0.795396,0.742597,0.701722,0.788528,0.45,0.374289,1934.0,485.0,306.0,1141.0,,,,,
results,deep_model,,,unknown,0.773425,0.707332,0.723733,0.655359,0.581395,0.750883,0.27,0.349815,,,,,,,,,
