request_id,sid,name,outcome,year,month,n_case_times,north,west,south,east,request_json_path,target_path
2017247N16132_201709,2017247N16132,GUCHOL,0,2017,9,24,29.25,112.0,8.0,140.5,data/interim/era5_requests/2017247N16132_201709.json,data/raw/era5/2017247N16132_201709.nc
2018234N22119_201808,2018234N22119,UNNAMED,0,2018,8,24,33.0,110.5,14.0,128.5,data/interim/era5_requests/2018234N22119_201808.json,data/raw/era5/2018234N22119_201808.nc
2019195N13136_201907,2019195N13136,DANAS,1,2019,7,24,27.75,115.25,6.0,142.5,data/interim/era5_requests/2019195N13136_201907.json,data/raw/era5/2019195N13136_201907.nc
2019231N13135_201908,2019231N13135,BAILU,1,2019,8,24,23.75,121.5,4.5,143.25,data/interim/era5_requests/2019231N13135_201908.json,data/raw/era5/2019231N13135_201908.nc
2019236N08143_201908,2019236N08143,PODUL,1,2019,8,24,24.5,111.0,3.0,145.75,data/interim/era5_requests/2019236N08143_201908.json,data/raw/era5/2019236N08143_201908.nc
2019243N06136_201908,2019243N06136,LINGLING,1,2019,8,14,24.25,117.25,-1.75,144.0,data/interim/era5_requests/2019243N06136_201908.json,data/raw/era5/2019243N06136_201908.nc
2019243N06136_201909,2019243N06136,LINGLING,1,2019,9,10,24.25,117.25,-1.75,144.0,data/interim/era5_requests/2019243N06136_201909.json,data/raw/era5/2019243N06136_201909.nc
2019268N10155_201909,2019268N10155,MITAG,1,2019,9,24,22.0,128.5,1.5,163.0,data/interim/era5_requests/2019268N10155_201909.json,data/raw/era5/2019268N10155_201909.nc
2020293N23139_202010,2020293N23139,UNNAMED,0,2020,10,24,33.75,130.5,14.5,148.0,data/interim/era5_requests/2020293N23139_202010.json,data/raw/era5/2020293N23139_202010.nc
2021185N13121_202107,2021185N13121,UNNAMED,0,2021,7,24,25.25,103.5,5.0,129.25,data/interim/era5_requests/2021185N13121_202107.json,data/raw/era5/2021185N13121_202107.nc
2022208N15143_202207,2022208N15143,SONGDA,0,2022,7,24,37.75,122.75,6.75,151.5,data/interim/era5_requests/2022208N15143_202207.json,data/raw/era5/2022208N15143_202207.nc
