sid,name,outcome,endpoint_time,endpoint_type,observation_time,hours_to_endpoint,center_lat,center_lon,pair_id
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-03T18:00:00+00:00,-72,13.0,121.2,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-03T21:00:00+00:00,-69,13.0,120.7,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-04T00:00:00+00:00,-66,13.1,120.1,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-04T03:00:00+00:00,-63,13.5,119.4,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-04T06:00:00+00:00,-60,14.0,118.6,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-04T09:00:00+00:00,-57,14.5,118.0,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-04T12:00:00+00:00,-54,14.8,117.4,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-04T15:00:00+00:00,-51,14.9,116.8,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-04T18:00:00+00:00,-48,14.9,116.3,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-04T21:00:00+00:00,-45,14.9,115.8,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-05T00:00:00+00:00,-42,15.0,115.3,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-05T03:00:00+00:00,-39,15.1,114.6,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-05T06:00:00+00:00,-36,15.2,113.9,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-05T09:00:00+00:00,-33,15.3,113.3,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-05T12:00:00+00:00,-30,15.3,112.9,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-05T15:00:00+00:00,-27,15.3,112.7,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-05T18:00:00+00:00,-24,15.3,112.5,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-05T21:00:00+00:00,-21,15.3,112.3,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-06T00:00:00+00:00,-18,15.4,112.1,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-06T03:00:00+00:00,-15,15.5,112.0,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-06T06:00:00+00:00,-12,15.8,112.0,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-06T09:00:00+00:00,-9,16.2,111.9,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-06T12:00:00+00:00,-6,16.7,111.7,1
2021185N13121,UNNAMED,0,2021-07-06T18:00:00+00:00,72h_after_first_track,2021-07-06T15:00:00+00:00,-3,17.2,111.5,1
2019195N13136,DANAS,1,2019-07-17T12:00:00+00:00,first_US_TS_or_34kt,2019-07-14T12:00:00+00:00,-72,14.2,134.5,1
2019195N13136,DANAS,1,2019-07-17T12:00:00+00:00,first_US_TS_or_34kt,2019-07-14T15:00:00+00:00,-69,14.6,134.1,1
2019195N13136,DANAS,1,2019-07-17T12:00:00+00:00,first_US_TS_or_34kt,2019-07-14T18:00:00+00:00,-66,15.0,133.6,1
2019195N13136,DANAS,1,2019-07-17T12:00:00+00:00,first_US_TS_or_34kt,2019-07-14T21:00:00+00:00,-63,15.3,133.2,1
2019195N13136,DANAS,1,2019-07-17T12:00:00+00:00,first_US_TS_or_34kt,2019-07-15T00:00:00+00:00,-60,15.6,132.7,1
