feature,developed_median,nondeveloped_median,cliffs_delta,mann_whitney_exact_p_unadjusted
very_cold_fraction__late_median,0.14662174135446543,0.0381129123270511,1.0,0.007936507936507936
cold_cloud_fraction__late_median,0.38653288020696697,0.2186541213557655,1.0,0.007936507936507936
azimuthal_symmetry__late_median,0.3656933002233903,0.0,0.68,0.09523809523809523
largest_patch_fraction__slope_per_day,0.0363862169279914,-0.04908191733134415,0.6,0.15079365079365079
largest_patch_fraction__late_median,0.9043737398424165,0.573799073274075,0.44,0.30952380952380953
azimuthal_symmetry__slope_per_day,0.004809133657020665,-0.025219129713385805,0.04,1.0
cold_centroid_offset_km__late_median,119.70998264933179,154.70260617355478,-0.04,1.0
cold_centroid_offset_km__slope_per_day,5.628133142628314,10.31690858834766,0.04,1.0
radial_concentration__late_median,0.16351474821567535,0.1551466286182403,-0.04,1.0
radial_concentration__slope_per_day,0.005366824295209805,-0.000513756897138478,-0.04,1.0
