sid,name,outcome,pair_id,endpoint_time,endpoint_type,median_lat,median_lon,endpoint_day_sin,endpoint_day_cos,n_frames,vorticity_850_mean_s1__300km__early_median,vorticity_850_mean_s1__300km__late_median,vorticity_850_mean_s1__300km__late_minus_early,vorticity_850_mean_s1__300km__slope_per_day,rh_600_850_mean_pct__300km__early_median,rh_600_850_mean_pct__300km__late_median,rh_600_850_mean_pct__300km__late_minus_early,rh_600_850_mean_pct__300km__slope_per_day,shear_200_850_ms__300km__early_median,shear_200_850_ms__300km__late_median,shear_200_850_ms__300km__late_minus_early,shear_200_850_ms__300km__slope_per_day,vorticity_850_mean_s1__500km__early_median,vorticity_850_mean_s1__500km__late_median,vorticity_850_mean_s1__500km__late_minus_early,vorticity_850_mean_s1__500km__slope_per_day,rh_600_850_mean_pct__500km__early_median,rh_600_850_mean_pct__500km__late_median,rh_600_850_mean_pct__500km__late_minus_early,rh_600_850_mean_pct__500km__slope_per_day,shear_200_850_ms__500km__early_median,shear_200_850_ms__500km__late_median,shear_200_850_ms__500km__late_minus_early,shear_200_850_ms__500km__slope_per_day,cold_cloud_fraction__early_median,cold_cloud_fraction__late_median,cold_cloud_fraction__late_minus_early,cold_cloud_fraction__slope_per_day,very_cold_fraction__early_median,very_cold_fraction__late_median,very_cold_fraction__late_minus_early,very_cold_fraction__slope_per_day,radial_concentration__early_median,radial_concentration__late_median,radial_concentration__late_minus_early,radial_concentration__slope_per_day,azimuthal_symmetry__early_median,azimuthal_symmetry__late_median,azimuthal_symmetry__late_minus_early,azimuthal_symmetry__slope_per_day,largest_patch_fraction__early_median,largest_patch_fraction__late_median,largest_patch_fraction__late_minus_early,largest_patch_fraction__slope_per_day,cold_centroid_offset_km__early_median,cold_centroid_offset_km__late_median,cold_centroid_offset_km__late_minus_early,cold_centroid_offset_km__slope_per_day
2019195N13136,DANAS,1,1,2019-07-17 12:00:00+00:00,first_US_TS_or_34kt,17.0,127.0,-0.2614143985111562,-0.965226663665613,4,4.814489818063747e-05,8.054132598581977e-05,3.2396427805182304e-05,1.4446633433885966e-05,89.19429896666901,84.09269832033021,-5.101600646338795,-3.024703981596062,7.316321368326056,12.449786130238845,5.133464761912789,1.2308679919702261,4.499880512295383e-05,5.1766654466927855e-05,6.7678493439740224e-06,4.0043152106392785e-06,86.41219184092695,83.76801249959874,-2.6441793413282113,-1.6742840005711226,7.4990806849741976,12.575282693045455,5.076202008071258,1.252140302336926,0.39450229451959484,0.4216428607029503,0.027140566183355475,0.03173577641259417,0.12384857237339014,0.1531625799834728,0.029314007610082654,0.027022318319804346,0.17692415416240692,0.08547218143939969,-0.09145197272300723,-0.03771843424140655,0.6145678183310312,0.28380678043648394,-0.3307610378945473,-0.11772101278811128,0.6282120364785213,0.5947697506556643,-0.03344228582285702,-0.03791289237608459,72.504926744458,123.76609404905028,51.26116730459228,19.918251687015793
2021185N13121,UNNAMED,0,1,2021-07-06 18:00:00+00:00,72h_after_first_track,15.100000000000001,114.4,-0.07518957641475855,-0.9971692572470178,4,5.415777390674949e-05,7.389714473105487e-05,1.973937082430538e-05,9.87993984436411e-06,86.36709744135555,84.09492874525881,-2.2721686960967418,-2.086981693861236,5.78697583113038,9.756256809188478,3.969280978058099,2.291889724338449,2.498517006471751e-05,3.333465898490804e-05,8.349488920190531e-06,4.077017337931013e-06,82.38009706290941,80.23071489029485,-2.1493821726145654,-1.4429376270866203,8.623355678141765,10.78837290927298,2.1650172311312144,1.4408264635438215,0.33240289046269145,0.2311906814480503,-0.10121220901464115,-0.032677783342954694,0.14727055653929705,0.0653526540845632,-0.08191790245473385,-0.023337360455795004,0.2407905682921409,0.12460178323090075,-0.11618878506124015,-0.07084115792345173,0.3311392955038316,0.22515872013119886,-0.10598057537263272,-0.0794900443401081,0.6889297822816851,0.5375499037377547,-0.15137987854393042,-0.013545974940621732,169.3047887955937,173.96507540379645,4.660286608202739,8.618162339560532
2019231N13135,BAILU,1,2,2019-08-22 00:00:00+00:00,first_US_TS_or_34kt,14.05,133.10000000000002,-0.7731383255706026,-0.6342374393978054,4,4.952515663063621e-05,9.21381659430042e-05,4.2613009312367995e-05,2.0537137746351858e-05,85.21414740152778,86.47517209034814,1.2610246888203562,0.5742529282176051,14.70098262422086,4.469012328888687,-10.231970295332172,-4.834340127241041,3.1670671663685824e-05,5.400039871513333e-05,2.2329727051447505e-05,1.062685360777814e-05,84.97361494730086,84.6173732971244,-0.35624165017645737,-0.6645742962621716,13.717391799554317,6.024905962005189,-7.692485837549128,-3.642210685886592,0.24690751316375903,0.4782297536805977,0.2313222405168387,0.11744533901317457,0.06050801742821925,0.21931365877389905,0.15880564134567982,0.08816209032491366,0.05102800740860395,0.17009806632995605,0.11907005892135211,0.058988246250750165,0.44742525965798907,0.38776841833035364,-0.059656841327635435,-0.049871146468185294,0.31648344712983834,0.833096941410048,0.5166134942802096,0.24434372572820992,109.36474603574985,149.44413294468004,40.07938690893019,21.369093652986216
2022208N15143,SONGDA,0,2,2022-07-29 12:00:00+00:00,72h_after_first_track,20.0,140.05,-0.45370308603134424,-0.8911529104063088,4,5.2176412019812104e-05,4.636525017937356e-05,-5.811161840438541e-06,1.6067147014600582e-06,85.96532167431948,84.42813774534912,-1.5371839289703644,-0.40052460178415233,10.268583435694161,3.7422449304676526,-6.526338505226509,-3.445342686117157,2.6763067180005998e-05,1.98131754523482e-05,-6.949891727657797e-06,-1.521593049427561e-06,82.6184401989685,82.7730161966655,0.1545759976969947,-0.4642156034781885,9.695923498911094,4.862016309626842,-4.833907189284252,-2.681752849234375,0.443212947228555,0.3192708190502326,-0.1239421281783224,-0.05064797937570206,0.208311066031456,0.0624209754168987,-0.1458900906145573,-0.05193221021722923,0.17817702144384384,0.2309431657195091,0.052766144275665255,0.020746190706621027,0.40134853756082195,0.30364786518006726,-0.0977006723807547,-0.058222716988826105,0.9284190073355307,0.6149066911912109,-0.31351231614431985,-0.09327850783298135,41.96773098617541,151.66984970696973,109.70211872079432,54.30139285493914
2019236N08143,PODUL,1,3,2019-08-28 00:00:00+00:00,first_US_TS_or_34kt,13.75,129.5,-0.8343701235229537,-0.5512045872199277,4,6.371022036588946e-05,8.799113066599664e-05,2.4280910300107175e-05,1.4571745333765845e-05,88.78924575300692,88.23945255564442,-0.5497931973625043,-0.3680543353965831,6.427842198885632,7.934409083565033,1.5065668846794011,0.9536914990138271,4.575043484647762e-05,5.457727847315261e-05,8.826843626674987e-06,4.0007050526128146e-06,86.30766112712377,85.07969968933646,-1.2279614377873003,-0.6804242672246984,8.70382915324176,10.346062941764664,1.6422337885229048,1.0277485066503895,0.38776612885509715,0.4237790292383441,0.03601290038324695,0.006576745040002984,0.12640739604830742,0.1928545162081718,0.06644712015986437,0.028818519806399916,0.20796643197536466,0.17263606190681455,-0.03533037006855011,-0.0075903913004617355,0.40519656278306115,0.2771587897234867,-0.12803777305957448,-0.01995777147212464,0.5586697858426677,0.866415501955297,0.30774571611262935,0.05880340075624216,176.8795085213833,198.9390743406044,22.05956581922112,5.459865639925025
2018234N22119,UNNAMED,0,3,2018-08-25 00:00:00+00:00,72h_after_first_track,23.55,120.0,-0.8048257371083452,-0.593511190196115,4,6.844515691266011e-05,7.88319549923145e-05,1.0386798079654383e-05,5.6264950132123595e-06,86.44224584457177,89.09783267618707,2.6555868316152953,1.0855031004121756,7.465103852818885,3.678241916411804,-3.786861936407081,-1.0858711696160672,3.10885415401937e-05,4.2001154672466045e-05,1.0912613132272343e-05,4.744197187560006e-06,80.38180404143567,83.92409785283357,3.5422938113978972,1.1934574606076485,9.47974930042605,4.850160765109669,-4.6295885353163815,-1.6759893950462807,0.22476140825923835,0.2241325436385899,-0.000628864620648456,0.008719689856542721,0.059674922376871053,0.06853829137980935,0.008863369002938298,0.012531811611533872,0.1546241492033004,0.1338255144655704,-0.02079863473773,-0.020643009643345766,0.0,0.0,0.0,0.0,0.7257506267546996,0.8974333029255941,0.1716826761708945,0.0712748442989041,282.4640640558566,291.6609000350595,9.196835979202888,-2.1703079887578918
2019243N06136,LINGLING,1,4,2019-09-02 06:00:00+00:00,first_US_TS_or_34kt,9.6,130.8,-0.8786374941610001,-0.4774894280028391,4,3.4303569431807276e-05,7.540371334831191e-05,4.110014391650463e-05,2.0876872125007535e-05,90.0303812965142,90.20765839975175,0.1772771032375573,-0.038246675373145606,4.0982276958923665,3.569552083382449,-0.5286756125099177,-0.42315032646528544,2.045511080500228e-05,3.1621123142317335e-05,1.1166012337315056e-05,5.832141553781672e-06,86.51747465766456,85.33514134075268,-1.1823333169118797,-0.566060913068484,4.240524803995193,3.9330567800714196,-0.30746802392377326,-0.1444588270960709,0.3254203476808365,0.41084539381061047,0.08542504612977397,0.025922796725670938,0.042137211188673945,0.10212403908371925,0.05998682789504531,0.03133076236041134,0.1753266155719757,0.2260370180010795,0.050710402429103796,0.018605000348079048,0.5582969367945054,0.5855598135817005,0.02726287678719508,-0.026166475443161478,0.6830203273576482,0.8746181975049394,0.19159787014729124,0.10089894265177642,104.43420539843049,105.65436072636612,1.220155327935629,9.825900009489658
2017247N16132,GUCHOL,0,4,2017-09-06 12:00:00+00:00,72h_after_first_track,18.049999999999997,124.25,-0.9093882203647925,-0.4159483918249421,4,3.484551102578426e-05,5.110455160919214e-05,1.625904058340788e-05,6.83870472231798e-06,84.45400418533245,77.26252847946151,-7.191475705870943,-3.601544496564416,7.77975143866848,14.688094544949982,6.908343106281501,2.4693217885877523,1.8916241650904432e-05,2.021260545066973e-05,1.296363799765299e-06,1.8310949045629587e-08,78.56428694402948,74.76983970744615,-3.7944472365833235,-1.7529255956534302,8.068279393365003,15.338416102821277,7.270136709456274,2.9285239437636013,0.26777203212577716,0.12923292093820196,-0.1385391111875752,-0.053518079717623235,0.0844297334551811,0.0676328614354133,-0.01679687201976779,-0.013868614717401579,0.22952198982238764,0.1231536567211151,-0.10636833310127254,-0.06147297310447525,0.20351474016245624,0.0,-0.20351474016245624,-0.07364159926221688,0.7681353712981198,0.9436713209091538,0.17553594961103403,0.06334859429041492,199.93905641160907,345.5734363993661,145.634379987757,61.294896632219874
2019268N10155,MITAG,1,5,2019-09-27 12:00:00+00:00,first_US_TS_or_34kt,11.5,147.1,-0.9977068927101168,-0.06768276175455162,4,1.2306538879328298e-05,5.6488962541051426e-05,4.4182423661723126e-05,2.2539815286708464e-05,82.85857448114285,84.53929299745076,1.6807185163079055,1.4968302613674518,11.933296442945128,8.44512705890354,-3.488169384041589,-2.325470380055008,7.67739394108473e-06,2.8056574528934475e-05,2.0379180587849744e-05,1.0198460390614026e-05,80.79486393874676,77.04272387273626,-3.7521400660104973,-1.5088914241286973,11.938891548540045,8.914140258841147,-3.024751289698898,-1.8849132963313777,0.2895450592537403,0.3381399176561899,0.04859485840244959,0.037367634090747726,0.0896551478654146,0.10356256365776056,0.013907415792345959,0.01045406720873279,0.1248189285397529,0.21557663381099695,0.09075770527124405,0.04395818619941001,0.09477613403593875,0.271838211475026,0.17706207743908725,0.10766984148854321,0.8105802363359249,0.9400297369925364,0.12944950065661154,0.07795815444548887,225.6970474425078,166.61984494993263,-59.07720249257517,-33.786925037739216
2020293N23139,UNNAMED,0,5,2020-10-22 06:00:00+00:00,72h_after_first_track,24.75,139.35000000000002,-0.9288394302558068,0.3704825404820963,4,3.776620649177197e-05,3.648539945227616e-05,-1.2808070394958068e-06,9.308825311497798e-08,86.3857114150411,65.53425588658155,-20.851455528459553,-9.246435302370427,14.82417903623745,21.506297805164664,6.682118768927214,3.6535639238799984,7.132084916597916e-06,1.0926888469666878e-05,3.794803553068962e-06,2.317392266949061e-06,79.17475870174839,60.81542792349067,-18.35933077825772,-8.215368519214854,16.255606983039595,20.24100099147769,3.985394008438096,2.141077384855621,0.1879920097005272,0.02111483512971065,-0.16687717457081655,-0.06345244506993078,0.033657284453511196,0.00078454031608995,-0.03287274413742124,-0.016301524283234167,0.30466476082801813,0.15364130958914754,-0.1510234512388706,-0.0992708734935738,0.2518940028293677,0.0,-0.2518940028293677,-0.09338658493307585,0.5556494791143505,0.6470085444118187,0.09135906529746818,0.05780162477781442,124.99851009547314,301.1797954166538,176.18128532118067,105.20773294177735
