sid,name,outcome,endpoint_time,endpoint_type,observation_time,hours_to_endpoint,center_lat,center_lon,segment_count,s3_key,local_path,s3_keys_json,local_paths_json,pair_id,valid_pixel_fraction,mean_bt_k,min_bt_k,cold_cloud_fraction,very_cold_fraction,radial_concentration,azimuthal_symmetry,largest_patch_fraction,patch_count,patch_density_per_10k_px,cold_centroid_offset_km,mean_cold_radius_km,vorticity_850_mean_s1__300km,rh_600_850_mean_pct__300km,shear_200_850_ms__300km,vorticity_850_mean_s1__500km,rh_600_850_mean_pct__500km,shear_200_850_ms__500km
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-03 12:00:00+00:00,-72,16.0,132.4,1,AHI-L1b-FLDK/2017/09/03/1200/HS_H08_20170903_1200_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/03/1200/HS_H08_20170903_1200_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2017/09/03/1200/HS_H08_20170903_1200_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/03/1200/HS_H08_20170903_1200_B13_FLDK_R20_S0101.DAT.bz2""]",4,1.0,256.77947998046875,181.32264709472656,0.2386717948919319,0.107878677546978,0.3362217247486114,0.1506603151768045,0.8319052590243126,60,2.336184776641267,187.88874103971065,287.2975769042969,1.6408152316571763e-05,85.45392781184874,8.500077589715248,1.4323557526980207e-05,77.66349478483117,7.380919154426424
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-04 12:00:00+00:00,-48,16.4,125.9,1,AHI-L1b-FLDK/2017/09/04/1200/HS_H08_20170904_1200_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/04/1200/HS_H08_20170904_1200_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2017/09/04/1200/HS_H08_20170904_1200_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/04/1200/HS_H08_20170904_1200_B13_FLDK_R20_S0101.DAT.bz2""]",4,1.0,248.48263549804688,186.66848754882807,0.2968722693596224,0.0609807893633842,0.1228222548961639,0.256369165148108,0.7043654835719272,69,2.80880580975022,211.9893717835075,393.13909912109375,5.328286973499676e-05,83.45408055881614,7.059425287621711,2.350892577482866e-05,79.46507910322778,8.755639632303582
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-05 12:00:00+00:00,-24,19.7,122.6,1,AHI-L1b-FLDK/2017/09/05/1200/HS_H08_20170905_1200_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/05/1200/HS_H08_20170905_1200_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2017/09/05/1200/HS_H08_20170905_1200_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/05/1200/HS_H08_20170905_1200_B13_FLDK_R20_S0101.DAT.bz2""]",4,1.0,272.03472900390625,183.4950714111328,0.1393231986509068,0.0771322697401046,0.0914330929517746,0.0,0.9237872062950696,27,1.1687653941553071,357.01312794708286,399.7509765625,7.193895095534062e-05,79.28074686750527,16.07670937974459,2.823487546804039e-05,76.68626669606253,16.703568369835548
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-06 09:00:00+00:00,-3,21.2,120.1,1,AHI-L1b-FLDK/2017/09/06/0900/HS_H08_20170906_0900_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/06/0900/HS_H08_20170906_0900_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2017/09/06/0900/HS_H08_20170906_0900_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2017/09/06/0900/HS_H08_20170906_0900_B13_FLDK_R20_S0101.DAT.bz2""]",4,1.0,276.5837707519531,183.3194274902344,0.1191426432254971,0.058133453130722,0.1548742204904556,0.0,0.963555435523238,16,0.7229808500447344,334.13374485164934,356.3464660644531,3.0270152263043645e-05,75.24431009141773,13.299479710155374,1.2190335433299072e-05,72.85341271882976,13.973263835807009
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-22 00:00:00+00:00,-72,22.2,118.7,1,AHI-L1b-FLDK/2018/08/22/0000/HS_H08_20180822_0000_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2018/08/22/0000/HS_H08_20180822_0000_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2018/08/22/0000/HS_H08_20180822_0000_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2018/08/22/0000/HS_H08_20180822_0000_B13_FLDK_R20_S0101.DAT.bz2""]",3,1.0,268.0907287597656,191.29388427734372,0.167878454973439,0.0308384224772453,0.1444395035505294,0.0,0.6962252797437973,39,1.8123602972270887,325.3114563578581,395.750244140625,5.586044739851453e-05,88.14344003941108,5.519657147478288,2.8930253076006893e-05,83.02865075140498,8.243448924228582
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-23 00:00:00+00:00,-48,22.8,120.5,1,AHI-L1b-FLDK/2018/08/23/0000/HS_H08_20180823_0000_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2018/08/23/0000/HS_H08_20180823_0000_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2018/08/23/0000/HS_H08_20180823_0000_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2018/08/23/0000/HS_H08_20180823_0000_B13_FLDK_R20_S0101.DAT.bz2""]",3,1.0,259.1432189941406,188.22760009765625,0.2816443615450377,0.0885114222764968,0.1648087948560714,0.0,0.7552759737656017,26,1.1918787217559124,239.6166717538551,365.0634765625,8.10298664268057e-05,84.74105164973246,9.410550558159482,3.3246830004380506e-05,77.73495733146636,10.716049676623518
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-24 00:00:00+00:00,-24,24.3,120.3,1,AHI-L1b-FLDK/2018/08/24/0000/HS_H08_20180824_0000_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2018/08/24/0000/HS_H08_20180824_0000_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2018/08/24/0000/HS_H08_20180824_0000_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2018/08/24/0000/HS_H08_20180824_0000_B13_FLDK_R20_S0101.DAT.bz2""]",3,1.0,259.5769958496094,189.42691040039065,0.2415425763600489,0.0547129102051258,0.2088005095720291,0.0,0.9336380173575388,32,1.4984500407391104,274.55756878071986,335.9844970703125,8.639841884252328e-05,87.28164149053119,3.2705629630348088,4.3491404220703466e-05,82.41852181247617,4.893091098634505
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-24 21:00:00+00:00,-3,25.0,119.7,1,AHI-L1b-FLDK/2018/08/24/2100/HS_H08_20180824_2100_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2018/08/24/2100/HS_H08_20180824_2100_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2018/08/24/2100/HS_H08_20180824_2100_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2018/08/24/2100/HS_H08_20180824_2100_B13_FLDK_R20_S0101.DAT.bz2""]",3,1.0,261.7463073730469,187.45677185058597,0.2067225109171309,0.0823636725544929,0.0588505193591117,0.0,0.8612285884936495,42,1.99865804388482,308.7642312893992,401.228515625,7.12654911421057e-05,90.91402386184296,4.0859208697888,4.0510905124228616e-05,85.42967389319098,4.807230431584833
2019195N13136,DANAS,1,2019-07-17T12:00:00+00:00,first_US_TS_or_34kt,2019-07-14 12:00:00+00:00,-72,14.2,134.5,1,AHI-L1b-FLDK/2019/07/14/1200/HS_H08_20190714_1200_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2019/07/14/1200/HS_H08_20190714_1200_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2019/07/14/1200/HS_H08_20190714_1200_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2019/07/14/1200/HS_H08_20190714_1200_B13_FLDK_R20_S0101.DAT.bz2""]",1,1.0,244.75338745117188,188.53126525878903,0.3452209199080465,0.0872008055448532,0.1687311977148056,0.5822519924318398,0.6550826386455584,72,2.740132668090013,56.75447779239498,361.5057373046875,3.9816791370200815e-05,91.77486654996333,11.005147464003237,3.649787688547253e-05,87.54682404054229,10.089428618990778
2019195N13136,DANAS,1,2019-07-17T12:00:00+00:00,first_US_TS_or_34kt,2019-07-15 12:00:00+00:00,-48,16.8,130.1,1,AHI-L1b-FLDK/2019/07/15/1200/HS_H08_20190715_1200_B13_FLDK_R20_S0101.DAT.bz2,/workspace/scratch/aa764eb01872/data/raw/himawari/2019/07/15/1200/HS_H08_20190715_1200_B13_FLDK_R20_S0101.DAT.bz2,"[""AHI-L1b-FLDK/2019/07/15/1200/HS_H08_20190715_1200_B13_FLDK_R20_S0101.DAT.bz2""]","[""/workspace/scratch/aa764eb01872/data/raw/himawari/2019/07/15/1200/HS_H08_20190715_1200_B13_FLDK_R20_S0101.DAT.bz2""]",1,1.0,240.22938537597656,184.1884613037109,0.4437836691311432,0.1604963392019271,0.1851171106100082,0.6468836442302227,0.6013414343114843,53,2.102982664280641,88.25537569652101,360.3103942871094,5.647300499107412e-05,86.61373138337471,3.6274952726488756,5.3499733360435134e-05,85.27755964131161,4.908732750957616
