sample,radius_km,model,n_cases,n_pairs,roc_auc
all_5_pairs,300,metadata_only,10,5,0.88
all_5_pairs,300,environment_only,10,5,0.7200000000000001
all_5_pairs,300,cloud_area_only,10,5,1.0
all_5_pairs,300,environment_plus_cloud,10,5,0.88
all_5_pairs,300,environment_plus_cloud_plus_organization,10,5,0.92
drop_pair_5,300,metadata_only,8,4,0.6875
drop_pair_5,300,environment_only,8,4,0.8125
drop_pair_5,300,cloud_area_only,8,4,1.0
drop_pair_5,300,environment_plus_cloud,8,4,0.9375
drop_pair_5,300,environment_plus_cloud_plus_organization,8,4,1.0
all_5_pairs,500,metadata_only,10,5,0.88
all_5_pairs,500,environment_only,10,5,0.72
all_5_pairs,500,cloud_area_only,10,5,1.0
all_5_pairs,500,environment_plus_cloud,10,5,0.8400000000000001
all_5_pairs,500,environment_plus_cloud_plus_organization,10,5,0.88
drop_pair_5,500,metadata_only,8,4,0.6875
drop_pair_5,500,environment_only,8,4,0.875
drop_pair_5,500,cloud_area_only,8,4,1.0
drop_pair_5,500,environment_plus_cloud,8,4,0.9375
drop_pair_5,500,environment_plus_cloud_plus_organization,8,4,1.0
