sid,observation_time,variable,bucket,object_key,object_size_bytes,object_etag,access_date
2017247N16132,2017-09-03T12:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201709/e5.oper.an.pl.128_157_r.ll025sc.2017090300_2017090323.nc,1459582442,9fe91b69ef179b739db2eac410c807af-3,2026-08-02
2017247N16132,2017-09-03T12:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201709/e5.oper.an.pl.128_131_u.ll025uv.2017090300_2017090323.nc,1564359925,654733913d9986497ed0ec94efa107d1-4,2026-08-02
2017247N16132,2017-09-03T12:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201709/e5.oper.an.pl.128_132_v.ll025uv.2017090300_2017090323.nc,1713738916,94ec42acd56a14d83c6a0e10ac7f56ab-4,2026-08-02
2017247N16132,2017-09-04T12:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201709/e5.oper.an.pl.128_157_r.ll025sc.2017090400_2017090423.nc,1463587136,24288aacfc64ee7c359a2bb4c90d52bc-3,2026-08-02
2017247N16132,2017-09-04T12:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201709/e5.oper.an.pl.128_131_u.ll025uv.2017090400_2017090423.nc,1564987765,f2cabd6a01eeee5bd51e03fcee8d1a02-4,2026-08-02
2017247N16132,2017-09-04T12:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201709/e5.oper.an.pl.128_132_v.ll025uv.2017090400_2017090423.nc,1711732651,f85a2593ede62f48bc725d9fa18d475d-4,2026-08-02
2017247N16132,2017-09-05T12:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201709/e5.oper.an.pl.128_157_r.ll025sc.2017090500_2017090523.nc,1460324034,1b2e5317189ed9d970c8150ff94ca50e-3,2026-08-02
2017247N16132,2017-09-05T12:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201709/e5.oper.an.pl.128_131_u.ll025uv.2017090500_2017090523.nc,1566997212,e6d03d87ac14ab5a4e59ae8ec2d5591a-4,2026-08-02
2017247N16132,2017-09-05T12:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201709/e5.oper.an.pl.128_132_v.ll025uv.2017090500_2017090523.nc,1703296016,bdfb26abf0135f9195aeb36330e79c5c-4,2026-08-02
2017247N16132,2017-09-06T09:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201709/e5.oper.an.pl.128_157_r.ll025sc.2017090600_2017090623.nc,1440803464,1d85ca2b3fa7d7df5f02277594924a27-3,2026-08-02
2017247N16132,2017-09-06T09:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201709/e5.oper.an.pl.128_131_u.ll025uv.2017090600_2017090623.nc,1559788788,28ae6074c7a62aa23d403501c14c44d0-4,2026-08-02
2017247N16132,2017-09-06T09:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201709/e5.oper.an.pl.128_132_v.ll025uv.2017090600_2017090623.nc,1697773611,ac5aaeea45e4cd42d0c2f70b138cb6f5-4,2026-08-02
2018234N22119,2018-08-22T00:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201808/e5.oper.an.pl.128_157_r.ll025sc.2018082200_2018082223.nc,1421765462,3b8542448cb87cc79ac62e228ff3e54c-3,2026-08-02
2018234N22119,2018-08-22T00:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201808/e5.oper.an.pl.128_131_u.ll025uv.2018082200_2018082223.nc,1543557490,863ed47e30be7274169faeac614582ca-4,2026-08-02
2018234N22119,2018-08-22T00:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201808/e5.oper.an.pl.128_132_v.ll025uv.2018082200_2018082223.nc,1692681487,bf7abf1a892cd5d18681977b23d0fb16-4,2026-08-02
2018234N22119,2018-08-23T00:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201808/e5.oper.an.pl.128_157_r.ll025sc.2018082300_2018082323.nc,1417122531,1952a5c72b253fc07b3e82180c83b4a2-3,2026-08-02
2018234N22119,2018-08-23T00:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201808/e5.oper.an.pl.128_131_u.ll025uv.2018082300_2018082323.nc,1548722562,169b97a2de1c13c674bd8d7afc4d2268-4,2026-08-02
2018234N22119,2018-08-23T00:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201808/e5.oper.an.pl.128_132_v.ll025uv.2018082300_2018082323.nc,1687031835,af7812d4df068526e8076becdcd53464-4,2026-08-02
2018234N22119,2018-08-24T00:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201808/e5.oper.an.pl.128_157_r.ll025sc.2018082400_2018082423.nc,1427540886,972bf0f81258fb0fc7e949802cb97029-3,2026-08-02
2018234N22119,2018-08-24T00:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201808/e5.oper.an.pl.128_131_u.ll025uv.2018082400_2018082423.nc,1554382904,cafcf1a0dbe3ce977604086c9714777d-4,2026-08-02
2018234N22119,2018-08-24T00:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201808/e5.oper.an.pl.128_132_v.ll025uv.2018082400_2018082423.nc,1683733355,847ecf4c7b9b2ed8a8b8b2bcf1d9694b-4,2026-08-02
2018234N22119,2018-08-24T21:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201808/e5.oper.an.pl.128_157_r.ll025sc.2018082400_2018082423.nc,1427540886,972bf0f81258fb0fc7e949802cb97029-3,2026-08-02
2018234N22119,2018-08-24T21:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201808/e5.oper.an.pl.128_131_u.ll025uv.2018082400_2018082423.nc,1554382904,cafcf1a0dbe3ce977604086c9714777d-4,2026-08-02
2018234N22119,2018-08-24T21:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201808/e5.oper.an.pl.128_132_v.ll025uv.2018082400_2018082423.nc,1683733355,847ecf4c7b9b2ed8a8b8b2bcf1d9694b-4,2026-08-02
2019195N13136,2019-07-14T12:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201907/e5.oper.an.pl.128_157_r.ll025sc.2019071400_2019071423.nc,1379729940,aa3f02d65cd4f7972dfce5d7fb247b90-165,2026-08-02
2019195N13136,2019-07-14T12:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201907/e5.oper.an.pl.128_131_u.ll025uv.2019071400_2019071423.nc,1551438298,e2a568e4fc499d73c07dd98776fd5def-185,2026-08-02
2019195N13136,2019-07-14T12:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201907/e5.oper.an.pl.128_132_v.ll025uv.2019071400_2019071423.nc,1703882555,9c7e7ee017cc4214b727e412413c970f-204,2026-08-02
2019195N13136,2019-07-15T12:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201907/e5.oper.an.pl.128_157_r.ll025sc.2019071500_2019071523.nc,1383286202,1a690d97ca525678c0391d422c7141d4-165,2026-08-02
2019195N13136,2019-07-15T12:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201907/e5.oper.an.pl.128_131_u.ll025uv.2019071500_2019071523.nc,1548575032,04e570034ebbc1ac8ab06eb7110e5644-185,2026-08-02
