feature,n_storms,early_median_across_storms,late_median_across_storms,median_paired_change,storms_increasing,wilcoxon_p_unadjusted
cold_cloud_fraction,5,0.3434149387895739,0.38653288020696697,0.008735071664426886,3,0.625
very_cold_fraction,5,0.0981905534863472,0.14662174135446543,0.011383369565010126,5,0.0625
radial_concentration,5,0.1828081458806991,0.16351474821567535,-0.014759831130504608,2,0.8125
azimuthal_symmetry,5,0.4106142613186853,0.3656933002233903,-0.013715180482067768,2,0.625
largest_patch_fraction,5,0.8112865661476724,0.9043737398424165,0.07437313399527634,3,0.4375
patch_density_per_10k_px,5,2.795669654845153,2.5159051901999527,-0.3808575313395801,2,0.3125
cold_centroid_offset_km,5,135.27722915472378,119.70998264933179,5.606533071394026,4,0.3125
mean_cold_radius_km,5,345.1687927246094,368.6117401123047,-3.3108367919921875,2,1.0
mean_bt_k,5,249.18560791015625,248.17161560058594,0.6822967529296875,3,1.0
min_bt_k,5,187.92127990722656,185.19577026367188,-2.7255096435546875,1,0.1875
